Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,ADAM,ONDRA,CZE,1.22,39+,top,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
2,DOMEN,SKOFIC,SLO,9.5,33+,41,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
3,JAKOB,SCHUBERT,AUT,2.29,39+,38+,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
4,LUKA,POTOCAR,SLO,9.5,29+,30,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
5,ALEXANDER,MEGOS,GER,3.97,36+,27,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
6,MATHIAS,POSCH,AUT,16.32,29,26,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
7,MEJDI,SCHALCK,FRA,9.5,32,25+,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
8,NAO,MONCHOIS,FRA,9.72,30,25+,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
9,HUGO,PARMENTIER,FRA,11.68,28+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
10,PAUL,JENFT,FRA,20.59,27,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
11,RISHAT,KHAIBULLIN,KAZ,6.54,26+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
12,SAM,AVEZOU,FRA,9.87,26+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
13,DIEGO,FOURBET,FRA,11.54,26+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
14,JAKUB,KONECNY,CZE,19.29,26+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
15,MARCELLO,BOMBARDI,ITA,12.33,26,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
16,ALISTAIR,DUVAL,FRA,18.11,26,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
17,JEREMY,BONDER,FRA,23.59,23,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
18,ALBERTO,GINÉS LÓPEZ,ESP,3.97,22+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
19,PHILIPP,MARTIN,GER,16.6,22+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
20,LEO,AVEZOU,FRA,18.55,22,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
21,FILIP,SCHENK,ITA,20.12,22,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
22,CHRISTOPH,HANKE,GER,18.11,21+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
23,YANNICK,FLOHÉ,GER,22.86,21+,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
24,MARTIN,STRANIK,CZE,15.56,20,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
25,LOÏC,TIMMERMANS,BEL,20.2,20,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
26,DAVIDE MARCO,COLOMBO,ITA,20.75,20,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
27,ADRIEN,LEMAIRE,FRA,23.59,20,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
28,FRANCESCO,VETTORATA,ITA,24.98,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
29,JAN,HOJER,GER,26.4,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
29,SIMON,POTUCEK,CZE,26.4,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
31,NICOLAS,COLLIN,BEL,28.62,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
32,ZIGA,ZAJC,SLO,30.48,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
33,TIES,VANCRAEYNEST,BEL,32.81,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
34,MIKEL ASIER,LINACISORO MOLINA,ESP,33.05,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
35,MAX,KLEESATTEL,GER,33.16,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
36,MARTIN,BERGANT,SLO,35.05,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
37,STEFAN,SCHERZ,AUT,36.41,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
38,ARNO,LUYPAERT,BEL,36.44,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
39,HÉCTOR,BAZAN MARTÍN,ESP,37.01,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
40,MILAN,PRESKAR,SLO,37.73,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
41,GEORG,PARMA,AUT,38.5,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
42,LUDOVICO,FOSSALI,ITA,40.23,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
42,SVEN,LEMPEREUR,BEL,40.23,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
42,STEPAN,POTUCEK,CZE,40.23,,,Briançon_(FRA)_2020,21 August - 22 August 2020,Men
1,LAURA,ROGORA,ITA,1.94,33,top,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
2,JANJA,GARNBRET,SLO,1.94,26+,top,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
3,FANNY,GIBERT,FRA,15.72,26+,42,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
4,JESSICA,PILZ,AUT,9.54,26+,41+,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
5,VITA,LUKAN,SLO,4.18,26+,39+,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
6,TJASA,KALAN,SLO,7.48,26+,39+,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
7,NINA,ARTHAUD,FRA,17.54,27,34+,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
8,GIORGIA,TESIO,ITA,15.72,26+,30+,Briançon_(FRA)_2020,21 August - 22 August 2020,Women
