Rank,Name,,Country,Qualification,Final
1,ANOUCK,JAUBERT,FRA,7.800,7.78
2,ARIES,SUSANTI RAHAYU,INA,7.680,10.15
3,ANNA,TSYGANOVA,RUS,8.070,8.16
4,PUJI,LESTARI,INA,8.330,fall
5,AURELIA,SARISSON,FRA,8.530,8.36
6,ALLA,MARENYCH,UKR,8.850,8.63
7,MARIIA,KRASAVINA,RUS,8.120,9.30
8,ELENA,TIMOFEEVA,RUS,8.740,9.82
9,SANTI,WELLYANTI,INA,8.880,8.52
10,CUILIAN,HE,CHN,8.720,8.58
11,ANNA,BROZEK,POL,8.830,8.59
12,VICTOIRE,ANDRIER,FRA,8.880,8.86
13,FITRIYANI,FITRIYANI,INA,9.010,8.86
14,YILING,SONG,CHN,8.990,9.24
15,ELIZAVETA,IVANOVA,RUS,8.390,fall
16,ELISABETTA,DALLA BRIDA,ITA,8.970,false start
17,EDYTA,ROPEK,POL,9.090,
18,SYAFIIYAH,DHORIFATUS,INA,9.210,
19,KLAUDIA,BUCZEK,POL,9.270,
20,RAJIAH,SALLSABILLAH,INA,9.630,
21,MINGWEI,NI,CHN,10.180,
22,PEIYANG,TIAN,CHN,10.560,
23,IULIIA,KAPLINA,RUS,10.830,
24,DINARA,FAKHRITDINOVA,RUS,false start,
