Rank,Name,,Country,Qualification,Final
1,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.780,5.63
2,STANISLAV,KOKORIN,RUS,6.080,6.11
3,VLADISLAV,DEULIN,RUS,6.000,5.84
4,LUDOVICO,FOSSALI,ITA,6.120,5.94
5,MARCIN,DZIENSKI,POL,6.030,6.81
6,SERGEI,LUZHETSKII,RUS,6.580,7.02
7,LEONARDO,GONTERO,ITA,6.350,7.94
8,GEORGY,ARTAMONOV,RUS,6.110,fall
9,GUILLAUME,MORO,FRA,6.420,6.30
10,YULIANTO,ABUDZAR,INA,6.500,6.33
11,GIAN LUCA,ZODDA,ITA,6.460,6.55
12,TONNY,MAMIRI,INA,6.520,6.65
13,ALEKSANDR,SHIKOV,RUS,6.110,7.41
14,LIBOR,HROZA,CZE,5.720,7.63
15,DMITRII,TIMOFEEV,RUS,6.260,false start
16,PANGERAN,SEPTO WIBOWO SIBURIAN,INA,6.480,fall
17,ALESSANDRO,SANTONI,ITA,6.680,
18,SYABBUDDIN,SYABBUDDIN,INA,6.840,
19,ARSENII,BOGOMOLOV,RUS,6.910,
20,RAFAL,HALASA,POL,6.990,
21,ALESSANDRO,CINGARI,ITA,7.190,
22,CRISTIAN,DORIGATTI,ITA,7.200,
23,IHOR,TIAPKIN,UKR,7.270,
24,SEUNGWOON,CHO,KOR,7.300,
25,JUNGJU,KIM,KOR,7.510,
26,TOMASZ,SORDYL,POL,7.990,
27,LUKAS,KNAPP,AUT,8.030,
28,CHI-FUNG,AU,HKG,8.210,
29,JAN,HOJER,GER,8.560,
30,MATEUSZ,ZAREMBA,POL,8.590,
31,CHEUNG-CHI SHOJI,CHAN,HKG,8.600,
32,JAVIER,CANO BLAZQUEZ,ESP,8.630,
33,DAVID,FIRNENBURG,GER,8.800,
34,RUBEN,FIRNENBURG,GER,9.560,
35,JONATAN,FLOR VAZQUEZ,ESP,9.850,
36,DIMITRI,VOGT,SUI,9.930,
37,HANNES,PUMAN,SWE,10.350,
38,CHRISTOPH,HANKE,GER,11.020,
39,ASPAR,ASPAR,INA,false start,
39,SABRI,SABRI,INA,false start,
