Rank,Name,,Country,Qualification,Semi-Final,Final
1,ROMAIN,DESGRANGES,FRA,39+  1. | 36+  2. [1.58],36+,41
2,SEAN,MCCOLL,CAN,38   2. | 35+  4. [4.12],35+,39
3,STEFANO,GHISOLFI,ITA,37+  3. | 35+  4. [5.83],35+,35
4,MASAHIRO,HIGUCHI,JPN,37   6. | 35+  4. [7.14],36+,29
5,SEAN,BAILEY,USA,28+  28. | 35+  4. [17.49],36+,28+
6,MARCELLO,BOMBARDI,ITA,35   9. | 32+  14. [12.25],36+,27
7,NAOKI,SHIMATANI,JPN,35   9. | 30+  23. [15.97],36,22.5
8,SEBASTIAN,HALENKE,GER,37+  3. | 37   1. [2.00],36+,13+
9,DOMEN,SKOFIC,SLO,33+  12. | 30+  23. [19.23],35+,
10,KEIICHIRO,KORENAGA,JPN,11+  67. | 35+  4. [23.86],35+,
11,SAM,AVEZOU,FRA,35+  8. | 32   17. [11.83],35,
12,MAX,RUDIGIER,AUT,35   9. | 27+  35. [19.62],34+,
13,HANWOOL,KIM,KOR,28+  28. | 35+  4. [17.49],33+,
14,FRANCESCO,VETTORATA,ITA,33+  12. | 30+  23. [19.23],33+,
15,LOÏC,TIMMERMANS,BEL,32+  19. | 30+  23. [22.58],33+,
16,JAMES,POPE,GBR,33+  12. | 35+  4. [11.10],33,
17,HANNES,PUMAN,SWE,21   59. | 36+  2. [12.14],33,
18,JAKUB,KONECNY,CZE,33   18. | 32   17. [17.75],32.5,
19,THOMAS,JOANNES,FRA,36+  7. | 35+  4. [7.71],30+,
20,CHRISTOPH,HANKE,GER,37+  3. | 29   33. [11.49],29,
21,ALEKSEY,RUBTSOV,RUS,32   22. | 31+  19. [21.71],29,
22,FILIP,SCHENK,ITA,33+  12. | 35+  4. [11.10],28+,
23,MATTHIAS,SCHIESTL,AUT,28+  28. | 32+  14. [23.24],27+,
24,MARTIN,TEKLES,GER,32+  19. | 35+  4. [13.04],23+,
25,ELAN,JONASMCRAE,CAN,32+  19. | 32+  14. [17.32],23+,
26,THÉO,RAVANELLO,FRA,33+  12. | 27+  35. [23.63],23+,
27,ANATOLE,BOSIO,FRA,32   22. | 30+  23. [24.22],,
28,VLADISLAV,SHEVCHENKO,RUS,31+  25. | 30+  23. [25.25],,
29,JESSE,GRUPPER,USA,32   22. | 29+  31. [26.92],,
30,NAO,MONCHOIS,FRA,28+  28. | 31+  19. [27.17],,
31,JERNEJ,KRUDER,SLO,33+  12. | 25+  51. [27.33],,
32,KAI,LIGHTNER,USA,29   26. | 29+  31. [28.89],,
33,YANNICK,FLOHÉ,GER,27+  45. | 31+  19. [31.04],,
34,SERGEI,BYDTAEV,RUS,27   50. | 31+  19. [32.49],,
35,JAN,HOJER,GER,28+  28. | 30   29. [32.59],,
36,JAVIER,CANO BLAZQUEZ,ESP,28+  28. | 28+  34. [34.99],,
37,DAVID,FIRNENBURG,GER,28+  28. | 27+  35. [37.23],,
37,NIKOLAI,IARILOVETS,RUS,28+  28. | 27+  35. [37.23],,
37,TOMAS,RAVANAL,CHI,28+  28. | 27+  35. [37.23],,
40,MATHIAS,POSCH,AUT,27+  45. | 30   29. [37.24],,
41,DIMITRI,VOGT,SUI,28+  28. | 27   43. [39.34],,
42,GIORGIO,BENDAZZOLI,ITA,28+  28. | 26+  44. [40.69],,
42,KIM,MARSCHNER,GER,28+  28. | 26+  44. [40.69],,
42,TANGUY,TOPIN,FRA,28+  28. | 26+  44. [40.69],,
45,ÀLEX,HERNÁNDEZ CASTILLA,ESP,29   26. | 18+  61. [40.70],,
46,CAMPBELL,HARRISON,AUS,28+  28. | 26   49. [42.21],,
47,SUNGBO,SEO,KOR,27+  45. | 27+  35. [42.54],,
48,MACIEJ,DOBRZANSKI,POL,28+  28. | 24   54. [44.09],,
49,DICHONG,HUANG,CHN,27   50. | 27+  35. [44.53],,
50,TOMAS,BINTER,CZE,28+  28. | 22   57. [45.50],,
51,MARTIN,BERGANT,SLO,27+  45. | 26+  44. [46.50],,
52,CHARLI,BLEIN,FRA,23+  58. | 27+  35. [47.25],,
53,JEROME,GONZÁLEZ GUTIÉRREZ,ESP,28+  28. | 18+  61. [47.43],,
54,OBED,HARDMEIER,SUI,27+  45. | 23   55. [50.84],,
55,NATHAN,MARTIN,LUX,27   50. | 25+  51. [51.50],,
56,LEO KETIL,BØE,NOR,25+  54. | 26   49. [51.70],,
57,YUFEI,PAN,CHN,27   50. | 22+  56. [53.70],,
58,MARTIN,KUHNEL,USA,24+  55. | 24+  53. [54.48],,
59,FREDRIK,SERLACHIUS,SWE,1+  68. | 26+  44. [55.93],,
60,STEPAN,VOLF,CZE,24+  55. | 22   57. [56.75],,
61,KYLE,MURDOCH,CAN,24+  55. | 18+  61. [59.16],,
62,BENJAMIN,AYALA,CHI,20   60. | 19   59. [59.75],,
63,MARKUS,GILLBERG,SWE,19+  61. | 19   59. [61.22],,
64,LOVE YMER,ALBER,SWE,19+  61. | 18+  61. [62.75],,
65,OLIVER,MARX,RSA,19+  61. | 17+  65. [64.24],,
66,ALBERT,ILSAAS SUTHURST,NOR,19+  61. | 17   67. [64.97],,
67,KRISTOFFER,KLEV,NOR,19+  61. | 16+  68. [65.45],,
68,DENIS,PAIL,CZE,18+  66. | 17+  65. [65.75],,
