Rank,Name,,Country,Qualification,Final
1,ANOUCK,JAUBERT,FRA,7.890,8.22
2,IULIIA,KAPLINA,RUS,7.670,8.80
3,MARIIA,KRASAVINA,RUS,8.330,8.46
4,ELIZAVETA,IVANOVA,RUS,8.190,8.73
5,ANNA,TSYGANOVA,RUS,8.410,8.17
6,VICTOIRE,ANDRIER,FRA,8.650,8.68
7,ELENA,REMIZOVA,RUS,8.460,fall
8,ANNA,BROZEK,POL,8.440,false start
9,EDYTA,ROPEK,POL,8.720,8.44
10,PATRYCJA,CHUDZIAK,POL,8.780,8.59
11,PUJI,LESTARI,INA,8.810,8.79
12,ALLA,MARENYCH,UKR,8.550,8.97
13,AURELIA,SARISSON,FRA,8.720,9.00
14,SVETLANA,SHAROVA,RUS,8.840,10.00
15,SVETLANA,MOTOVILOVA,RUS,8.830,11.33
16,DARIA,KAN,RUS,8.750,false start
17,KLAUDIA,BUCZEK,POL,8.870,
18,ELISABETTA,DALLA BRIDA,ITA,8.990,
18,FARINA,HANDAYANI,INA,8.990,
20,SYAFIIYAH,DHORIFATUS,INA,9.220,
21,ELMA,FLEURET,FRA,9.270,
21,NINA,LACH,AUT,9.270,
23,ALEXANDRA,ELMER,AUT,9.320,
24,ANDREA,ROJAS,ECU,9.350,
25,ELENA,TIMOFEEVA,RUS,9.370,
26,FRANCESCA,VASI,ITA,10.170,
27,TETIANA,KOLKOTINA,UKR,10.300,
28,SILVIA,PORTA,ITA,10.580,
29,GIORGIA,RANDI,ITA,10.600,
30,ALINA,RING,SUI,10.640,
31,LUIZA,EMELEVA,RUS,10.670,
32,ALANNAH,YIP,CAN,12.690,
33,JARA,SPÄTE,SUI,12.820,
34,LAUREL,MELTON,USA,14.540,
35,JENNIFER,DE LA TORRE,USA,14.550,
