Rank,Name,,Country,Qualification,Semi-Final
1,JAIN,KIM,KOR,45+  1. | 37+  2. [1.87],50+
2,MAGDALENA,RÖCK,AUT,45   2. | 37+  2. [2.65],43+
3,ANAK,VERHOEVEN,BEL,35   9. | top  1. [3.08],43+
4,MAJA,STREMFELJ,SLO,44   3. | 37+  2. [3.24],43+
5,MOMOKA,ODA,JPN,34+  11. | 30+  11. [13.23],43+
6,MINA,MARKOVIC,SLO,38   5. | 37+  2. [4.18],41.5+
7,AKIYO,NOGUCHI,JPN,39   4. | 36+  6. [5.29],41.5+
8,KATHARINA,POSCH,AUT,37+  6. | 36+  6. [6.48],41.5+
9,HÉLÈNE,JANICOT,FRA,35   9. | 36+  6. [8.15],41.5+
10,DINARA,FAKHRITDINOVA,RUS,35+  8. | 30+  11. [10.58],41.5+
11,CHARLOTTE,DURIF,FRA,34+  11. | 30+  11. [13.23],41.5+
12,MATHILDE,BECERRA,FRA,37   7. | 30+  11. [9.90],40+
13,RISA,OTA,JPN,33+  15. | 33+  9. [11.81],40+
14,SALOMÉ,ROMAIN,FRA,34+  11. | 30   18. [15.00],40+
15,JULIA,CHANOURDIE,FRA,27   22. | 28   20. [22.45],37+
16,DELANEY,MILLER,USA,33+  15. | 23+  27. [21.20],37
17,EVGENIIA,MALAMID,RUS,32+  17. | 30+  11. [15.43],35
18,YUKA,KOBAYASHI,JPN,31+  18. | 28   20. [19.44],35
19,JESSICA,PILZ,AUT,20   38. | 32+  10. [19.62],35
20,NIKKI,VAN BERGEN,NED,30+  19. | 30+  11. [16.31],34+
21,JENNY,LAVARDA,ITA,20+  27. | 30+  11. [21.17],33+
22,SOLÈNE,AMOROS,FRA,29+  20. | 27+  23. [21.68],33+
23,KATJA,DEBEVEC,SLO,27   22. | 27   25. [24.49],32+
24,NETTA,FREDMAN,ISR,34+  11. | 28+  19. [15.41],31.5+
25,TINA JOHNSEN,HAFSAAS,NOR,27   22. | 27+  23. [23.75],30+
26,ALIZÉE,DUFRAISSE,FRA,28   21. | 23+  27. [24.68],0
27,CLAUDIA,GHISOLFI,ITA,20+  27. | 28   20. [25.92],
28,GALINA,TERENTEVA,RUS,27   22. | 23+  27. [26.38],
29,HELOÏSE,DOUMONT,BEL,27   22. | 23   32. [28.35],
30,KATHERINE,CHOONG,SUI,20+  27. | 23+  27. [30.46],
31,GRACE,MCKEEHAN,USA,20+  27. | 23   32. [32.74],
31,ANASTASIIA,SAMOILINA,RUS,20+  27. | 23   32. [32.74],
33,CHRISTINE,SCHRANZ,AUT,19+  40. | 25+  26. [34.01],
34,ANDREA,EBNER,ITA,20+  27. | 17+  37. [35.55],
34,REBEKKA,STOTZ,SUI,20+  27. | 17+  37. [35.55],
36,NOLWEN,BERTHIER,FRA,19+  40. | 23+  27. [35.92],
37,ELENA,BONAPACE,AUT,20+  27. | 14+  44. [37.74],
38,MICHAELA,KIERSCH,USA,20+  27. | 14   46. [38.57],
39,GOH,XIAO XIAN,SGP,20+  27. | 13+  48. [40.00],
40,KATRIN,AMANN,SWE,20+  27. | 13   53. [41.18],
41,FEDERICA,MINGOLLA,ITA,18+  51. | 23   32. [41.33],
42,DENISE,BERTRAM,GER,19+  40. | 17+  37. [41.93],
42,MOLLY,THOMPSON-SMITH,GBR,19+  40. | 17+  37. [41.93],
44,ELISKA,VLCKOVA,CZE,17   54. | 20.5+  36. [44.09],
45,BARBARA,BACHER,AUT,19+  40. | 14+  44. [44.50],
46,MANON,HILY,FRA,19+  40. | 14   46. [45.49],
47,EMILIA,GRUSZEWSKA,POL,17+  52. | 17+  37. [45.54],
47,STELLA,PLANTIN,SWE,17+  52. | 17+  37. [45.54],
49,SEUNGHYUN,KIM,KOR,20   38. | 7+  54. [45.60],
50,CELINE,CUYPERS,BEL,19   50. | 17   43. [46.37],
51,MAGDALENA,PÖLL,AUT,19+  40. | 13+  48. [47.17],
51,VERONIKA,SCHEUEROVA,CZE,19+  40. | 13+  48. [47.17],
51,MANUELA,SIGRIST,SUI,19+  40. | 13+  48. [47.17],
51,JANA,VINCOURKOVA,CZE,19+  40. | 13+  48. [47.17],
