Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
12,EVGENIIA,MALAMID,RUS,top  1. | 43   12. [9.54],32+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
13,ALIZÉE,DUFRAISSE,FRA,37   16. | 43   12. [14.42],30+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
14,MOE,YOSHIMURA,JPN,35+  17. | 36+  22. [19.90],22+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
15,NIKKI,VAN BERGEN,NED,40   15. | 43   12. [13.96],21+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
16,BARBARA,BACHER,AUT,35+  17. | 38   21. [19.44],21,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
17,MATHILDE,BRUMAGNE,BEL,42+  14. | 42+  15. [14.73],19+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
18,HAIMI,CHO,KOR,35+  17. | 38+  17. [18.25],18+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
19,LAMU,RENQING,CHN,34+  22. | 38+  17. [20.17],18+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
20,MINSEON,KIM,KOR,35   20. | 27   25. [22.86],17,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
21,SEUNGHYUN,KIM,KOR,20+  27. | 30   23. [24.92],16,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
22,"CHI-HENG, SHARON",CHIU,HKG,25+  25. | 29+  24. [24.74],15,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
23,AIKA,TAJIMA,JPN,top  1. | top  1. [6.48],11+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
24,TSUKASA,MIZUGUCHI,JPN,35   20. | 38+  17. [19.47],11+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
25,ABDUL ROCHMAN,SYARIFAH,INA,34   23. | 38+  17. [20.63],11+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
26,RONG,JIANG,CHN,29+  24. | 25   27. [25.46],11+,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
27,WANGMU,RENZENG,CHN,25+  25. | 27   25. [25.50],,,Haiyang_(CHN)_2014,20 June - 22 June 2014,Women
1,SACHI,AMMA,JPN,37+  1. | 36+  2. [1.73],28,28+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
2,JAKOB,SCHUBERT,AUT,28+  8. | 33   5. [6.63],40+,24+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
3,DOMEN,SKOFIC,SLO,26+  16. | 32   8. [12.17],29,23+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
4,THOMAS,BALLET,FRA,27+  9. | 28   12. [12.69],32+,19+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
5,ROMAIN,DESGRANGES,FRA,27+  9. | 28   12. [12.69],39+,16+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
6,RAMÓN,JULIAN PUIGBLANQUE,ESP,37+  1. | 34+  3. [2.12],32+,16+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
7,MAGNUS,MIDTBOE,NOR,27+  9. | 33   5. [7.95],28+,16+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
8,URBAN,PRIMOZIC,SLO,26   22. | 25+  23. [25.10],28+,13+,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
9,SEAN,MCCOLL,CAN,32+  4. | 37   1. [2.00],28,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
10,DMITRII,FAKIRIANOV,RUS,34+  3. | 28   12. [6.48],28,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
11,AKITO,MATSUSHIMA,JPN,29   6. | 28   12. [9.54],28,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
12,MANUEL,ROMAIN,FRA,29   6. | 33+  4. [5.10],27+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
13,SEBASTIAN,HALENKE,GER,27+  9. | 27   19. [14.78],27+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
14,ALBAN,LEVIER,FRA,25   25. | 28   12. [19.80],27+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
15,JIHWAN,PARK,KOR,26+  16. | 25+  23. [22.76],27+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
16,HYUNBIN,MIN,KOR,27+  9. | 31   9. [10.17],26,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
17,HANNES,PUMAN,SWE,27   15. | 25+  23. [20.49],26,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
18,GAUTIER,SUPPER,FRA,27+  9. | 32+  7. [8.97],24+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
19,TATSUMI,NITTA,JPN,24.5+  32. | 27+  17. [23.85],24+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
20,FRANCESCO,VETTORATA,ITA,26+  16. | 29   11. [14.27],21+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
21,MARCELLO,BOMBARDI,ITA,26+  16. | 26   20. [19.71],21+,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
22,THOMAS,JOANNES,FRA,26   22. | 25+  23. [25.10],21,,Chamonix_(FRA)_2014,10 July - 12 July 2014,Men
