Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | 40+  2. [1.73],46+,46+
2,JAIN,KIM,KOR,top  1. | top  1. [1.22],39,42+
3,AKIYO,NOGUCHI,JPN,35   9. | 36+  8. [9.25],37+,36
4,JESSICA,PILZ,AUT,36+  6. | 38+  3. [4.58],32+,31+
5,KATHARINA,POSCH,AUT,34.5+  10. | 38+  3. [6.06],32+,28
6,YUKA,KOBAYASHI,JPN,35+  7. | 33+  20. [12.25],35+,27+
7,ANAK,VERHOEVEN,BEL,37   5. | 37+  5. [5.24],32+,24+
8,MAJA,STREMFELJ,SLO,37+  3. | 36+  8. [5.77],32+,24
9,MAGDALENA,RÖCK,AUT,35+  7. | 37+  5. [6.42],32+,
10,HÉLÈNE,JANICOT,FRA,30+  16. | 34   19. [17.97],32+,
11,ALIZÉE,DUFRAISSE,FRA,34.5+  10. | 37   7. [8.57],30.5+,
12,NIKKI,VAN BERGEN,NED,29+  20. | 34+  15. [18.61],30.5,
13,RISA,OTA,JPN,34   13. | 36+  8. [11.11],30+,
14,MATHILDE,BECERRA,FRA,37+  3. | 34+  15. [7.60],29+,
15,TJASA,KALAN,SLO,24+  35. | 35+  12. [21.21],29+,
16,CHRISTINE,SCHRANZ,AUT,32+  15. | 35+  12. [13.69],28+,
17,HANNAH,SCHUBERT,AUT,29+  20. | 34+  15. [18.61],28+,
18,KATJA,DEBEVEC,SLO,27+  27. | 27+  22. [25.48],27+,
19,JULIA,CHANOURDIE,FRA,33+  14. | 35   14. [14.00],25,
20,MOLLY,THOMPSON-SMITH,GBR,30+  16. | 25+  24. [20.62],25,
21,REBEKA,KAMIN,SLO,30+  16. | 24+  27. [21.82],23+,
22,SALOMÉ,ROMAIN,FRA,27+  27. | 34+  15. [22.06],23+,
23,JARA,SPÄTE,SUI,29   23. | 27   23. [23.25],23+,
24,ANDREA,KÜMIN,SUI,28+  25. | 25+  24. [25.00],23+,
25,KATHERINE,CHOONG,SUI,30   19. | 21+  32. [25.04],23+,
26,DINARA,FAKHRITDINOVA,RUS,34+  12. | 36+  8. [10.68],23,
27,NETTA,FREDMAN,ISR,26+  33. | 29   21. [26.52],,
28,CAROLINA,ROSERO,ECU,27+  27. | 25+  24. [27.16],,
29,SOPHIE,RAUBERGER,GER,28   26. | 22   30. [28.16],,
30,JULIA,FISER,AUT,29+  20. | 20+  39. [28.62],,
31,JENNY,LAVARDA,ITA,27+  27. | 24+  27. [28.74],,
31,IVA,ONDRA,CZE,27+  27. | 24+  27. [28.74],,
33,JERA,LENARDIC,SLO,29   23. | 20.5+  35. [29.29],,
34,ALINA,RING,SUI,27+  27. | 20.5+  35. [32.81],,
35,IULIIA,ZAITSEVA,RUS,26+  33. | 21+  32. [33.25],,
36,ANJA,SERBINEK,SLO,23   39. | 22   30. [34.49],,
37,CLAUDIA,GHISOLFI,ITA,23+  38. | 21+  32. [35.41],,
38,STASA,GEJO,SRB,24+  35. | 20.5+  35. [36.25],,
38,SOLVEIG,KORHERR,GER,24+  35. | 20.5+  35. [36.25],,
40,FEDERICA,MINGOLLA,ITA,22+  40. | 19   40. [40.25],,
41,ELISKA,VLCKOVA,CZE,22   41. | 19   40. [41.00],,
42,EVA,SCROCCARO,ITA,22   41. | 12+  42. [41.75],,
