Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [4.00],top,top
2,MINA,MARKOVIC,SLO,top  1. | top  1. [4.00],45,47+
3,MAGDALENA,RÖCK,AUT,top  1. | top  1. [4.00],43+,47+
4,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [4.00],43+,44+
5,MAJA,STREMFELJ,SLO,top  1. | top  1. [4.00],44+,36
6,ANAK,VERHOEVEN,BEL,top  1. | top  1. [4.00],top,35+
7,YUKA,KOBAYASHI,JPN,41+  17. | 43   8. [12.33],43+,35+
8,CHARLOTTE,DURIF,FRA,52+  8. | 29+  12. [10.91],40+,35
9,AKIYO,NOGUCHI,JPN,top  1. | 28+  20. [9.49],38+,
10,EVGENIIA,MALAMID,RUS,40+  24. | top  1. [9.90],37+,
11,SALOMÉ,ROMAIN,FRA,40   26. | 29+  12. [19.26],35+,
12,MATILDA,SÖDERLUND,SWE,47+  13. | 42+  9. [11.02],34+,
13,REBEKKA,STOTZ,SUI,41+  17. | 29   17. [18.49],34+,
14,JENNY,LAVARDA,ITA,40+  24. | 29+  12. [18.52],34+,
15,PETRA,KLINGLER,SUI,44+  15. | 30+  11. [13.06],22+,
16,DELANEY,MILLER,USA,52+  8. | 28+  20. [13.83],22+,
17,CHRISTINE,SCHRANZ,AUT,51+  10. | 29   17. [14.07],22+,
18,KATHARINA,POSCH,AUT,47+  13. | 29   17. [15.59],22+,
19,YANA,CHERESHNEVA,RUS,41+  17. | 29+  12. [16.31],22+,
19,NIKKI,VAN BERGEN,NED,41+  17. | 29+  12. [16.31],22+,
21,RISA,OTA,JPN,51+  10. | 28   26. [16.91],22+,
22,CAROLINA,ROSERO,ECU,41   22. | 28+  20. [22.50],22+,
23,IVA,ONDRA,CZE,44+  15. | 28+  20. [18.67],22,
24,BARBARA,BACHER,AUT,39   28. | 28+  20. [25.10],22,
25,IEVGENIIA,KAZBEKOVA,UKR,41+  17. | 27+  27. [22.65],18+,
26,DINARA,FAKHRITDINOVA,RUS,51+  10. | 36+  10. [10.49],0,
27,LAMU,RENQING,CHN,37+  31. | 28+  20. [26.41],,
28,NETTA,FREDMAN,ISR,41   22. | 14+  36. [29.05],,
29,GALINA,TERENTEVA,RUS,36   32. | 26+  28. [29.93],,
30,TINA JOHNSEN,HAFSAAS,NOR,38+  29. | 16+  31. [30.24],,
31,ELNAZ,REKABI,IRI,40   26. | 15   35. [30.45],,
32,DANA,GILEMKHANOVA,RUS,34+  33. | 15+  33. [33.25],,
33,IRATI,ANDA VILLANUEVA,ESP,30+  39. | 21+  29. [33.63],,
34,EDITA,VOPATOVA,CZE,31+  35. | 16   32. [33.70],,
35,KATHERINE,CHOONG,SUI,38+  29. | 14   40. [35.41],,
36,ELISKA,VLCKOVA,CZE,34   34. | 14+  36. [35.71],,
37,IRINA,KUZMENKO,RUS,28+  43. | 20   30. [36.12],,
38,MARTA,PALOU CAROL,ESP,31+  35. | 14+  36. [36.49],,
39,RONG,JIANG,CHN,29+  40. | 15+  33. [36.83],,
40,MARCELA,AVELLANEDA,COL,31   37. | 14+  36. [37.50],,
41,PUNTARIKA,TUNYAVANICH,THA,31   37. | 14   40. [39.92],,
42,ZURIÑE,ARRUE TOBAR,ESP,29+  40. | 14   40. [41.49],,
43,TAMARA,ULZHABAYEVA,KAZ,29   42. | 14   40. [42.25],,
44,JANINE,CARDOSO,BRA,28+  43. | 14   40. [43.00],,
45,ANDREA,ROJAS,ECU,28   45. | 14   40. [43.73],,
46,FLOR DE LUNA,PAZAN,COL,18   46. | 13+  46. [46.00],,
47,AYŞE,NARMANLI,TUR,17   47. | 12+  47. [47.00],,
48,CAROLINA,ALFONSO,COL,15+  48. | 12   48. [48.00],,
49,ASUHAN SELIN,ÜNLÜ,TUR,1+  49. | 7   49. [49.00],,
