Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [2.96],44+,44+
2,SEAN,MCCOLL,CAN,top  1. | top  1. [2.96],42+,38
3,SACHI,AMMA,JPN,42   5. | 32+  7. [6.20],43+,37+
4,DOMEN,SKOFIC,SLO,top  1. | 28+  10. [5.36],40+,33+
5,JAKOB,SCHUBERT,AUT,37+  9. | top  1. [5.92],41,32+
6,STEFANO,GHISOLFI,ITA,42   5. | top  1. [4.39],40+,32+
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [2.96],42,30+
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,41+  7. | top  1. [4.95],41,17+
9,URBAN,PRIMOZIC,SLO,35+  12. | 28+  10. [11.75],40+,
10,FRANCESCO,VETTORATA,ITA,37+  9. | 29   9. [9.49],40,
11,AKITO,MATSUSHIMA,JPN,37+  9. | 28   14. [11.83],40,
12,GAUTIER,SUPPER,FRA,39   8. | 28+  10. [9.59],33+,
13,SEBASTIAN,HALENKE,GER,30+  21. | 29+  8. [13.11],33+,
14,MASAHIRO,HIGUCHI,JPN,32+  15. | 28+  10. [13.13],33+,
15,LOÏC,TIMMERMANS,BEL,29+  24. | 26   23. [24.24],33+,
16,CHRISTOPH,HANKE,GER,31   17. | 26+  18. [19.24],28,
17,ELAN,JONASMCRAE,CAN,28+  27. | 27   17. [22.20],27+,
18,MARTIN,BERGANT,SLO,32   16. | 27+  15. [15.75],27,
19,JURE,RAZTRESEN,SLO,34   14. | 26+  18. [16.73],27,
20,TIM,REUSER,NED,31   17. | 24   26. [22.14],27,
21,LUKAS,KÖB,AUT,30+  21. | 26   23. [22.48],27,
22,MARCELLO,BOMBARDI,ITA,31   17. | 22+  30. [23.95],27,
23,OR,WECHSLER,ISR,26   42. | 27+  15. [25.82],26+,
24,THOMAS,JOANNES,FRA,34+  13. | 26+  18. [16.12],25+,
25,BERNHARD,RÖCK,AUT,30   23. | 26+  18. [21.45],24+,
26,JAVIER,CANO BLAZQUEZ,ESP,31   17. | 26+  18. [19.24],21,
27,FEDIR,SAMOILOV,UKR,29+  24. | 23+  28. [26.46],,
28,KAYA,OTAKA,JPN,27+  32. | 25+  25. [29.15],,
29,DIMITRI,VOGT,SUI,28+  27. | 22+  30. [29.98],,
30,SERGEI,BYDTAEV,RUS,26+  38. | 24   26. [32.35],,
31,JURE,BECAN,SLO,28+  27. | 22   33. [32.53],,
31,STEPHANE,HANSSENS,BEL,28+  27. | 22   33. [32.53],,
31,GREGOR,VEZONIK,SLO,28+  27. | 22   33. [32.53],,
34,MIKHAIL,KOCHETKOV,RUS,29+  24. | 21+  41. [33.54],,
35,BENOIT,HEINTZ,FRA,26+  38. | 23   29. [33.85],,
36,DAVID,BARRANS,GBR,27+  32. | 22   33. [35.23],,
36,GEORG,PARMA,AUT,27+  32. | 22   33. [35.23],,
38,MORITZ,HANS,GER,22+  47. | 22+  30. [38.17],,
39,TOMAS,BINTER,CZE,27+  32. | 21+  41. [39.12],,
39,MILAN,PRESKAR,SLO,27+  32. | 21+  41. [39.12],,
41,STEFAN,BEDNAR,SVK,27   37. | 21+  41. [40.80],,
42,WILLIAM,BOSI,GBR,23   46. | 22   33. [40.98],,
43,KEVIN,HUSER,SUI,26+  38. | 21+  41. [42.16],,
44,ELKO,SCHELLINGERHOUT,NED,17   50. | 22   33. [42.72],,
45,STEFANO,CARNATI,ITA,26   42. | 21+  41. [43.99],,
45,ALEX,KHAZANOV,ISR,26   42. | 21+  41. [43.99],,
47,ROMAN,KUCERA,CZE,10   55. | 22   33. [44.81],,
48,MORITZ,WALDLEBEN,SUI,23+  45. | 21+  41. [45.00],,
49,CONNOR,BYRNE,GBR,26+  38. | 20   51. [45.10],,
50,SÉBASTIEN,BERTHE,BEL,21   48. | 21+  41. [46.48],,
51,TEUN,KEUSTERS,NED,15   51. | 20+  50. [50.50],,
52,LUKE,DAWSON,GBR,18   49. | 16+  53. [51.20],,
53,MARTIN,JECH,CZE,10+  53. | 20   51. [52.49],,
54,GEORGE,STANCESCU,ROU,14+  52. | 11   55. [53.48],,
55,CATALIN,PETRESCU,ROU,10+  53. | 16+  53. [53.50],,
56,IGOR,MILOSAVLJEVIC,SRB,7   56. | 7+  56. [56.00],,
