Rank,Name,,Country,Qualification,Final
1,LIBOR,HROZA,CZE,5.760,6.44
2,BASSA,MAWEM,FRA,6.140,6.58
3,ALESSANDRO,SANTONI,ITA,6.300,wildcard
4,MARCIN,DZIENSKI,POL,6.140,false start
5,DANYIL,BOLDYREV,UKR,6.320,5.75
6,STANISLAV,KOKORIN,RUS,6.160,6.44
7,ARSENII,SHEVCHENKO,RUS,6.570,6.45
8,QUENTIN,NAMBOT,FRA,6.690,6.68
9,LEONARDO,GONTERO,ITA,6.630,6.35
10,ISAAC,ESTEVEZ,ECU,6.790,6.43
11,JEDRZEJ,KOMOSINSKI,POL,6.670,6.51
12,ALEKSANDR,SHIKOV,RUS,6.410,6.55
13,VLADISLAV,DEULIN,RUS,6.620,6.64
14,YAROSLAV,GONTARYK,UKR,6.530,6.72
15,EVGENII,VAITSEKHOVSKII,RUS,6.250,8.34
16,QIXIN,ZHONG,CHN,5.950,8.37
17,YOANN,LE COUSTER,FRA,6.850,
18,RAFAL,HALASA,POL,6.910,
19,VOLODYMYR,ZINCHENKO,UKR,6.930,
20,LUDOVICO,FOSSALI,ITA,7.020,
21,DMITRII,TIMOFEEV,RUS,7.360,
22,ROBERT,STEWART-PATTERSON,CAN,7.520,
23,LINCAI,ZHONG,CHN,7.600,
24,MICHAL,LEWICKI,POL,7.700,
25,KAROL,DENIS,POL,7.760,
26,TOMMASO,PASQUA,ITA,7.840,
27,STANISLAO,ZAMA,ITA,8.030,
28,MATTHIAS,ERBER,AUT,8.170,
29,SEAN,MCCOLL,CAN,8.910,
30,JOSUE,MANOSALVAS,ECU,8.940,
31,DOMINIC,LABARGE,USA,8.990,
32,SERGEI,LUZHETSKII,RUS,false start,
