Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.320,6.02
2,LIBOR,HROZA,CZE,6.270,6.06
3,BASSA,MAWEM,FRA,6.410,6.04
4,STANISLAV,KOKORIN,RUS,6.400,6.25
5,ALEKSANDR,SHIKOV,RUS,6.420,6.46
6,EVGENII,VAITSEKHOVSKII,RUS,6.400,6.51
7,ARSENII,SHEVCHENKO,RUS,6.590,6.60
8,MARCIN,DZIENSKI,POL,6.350,7.08
9,QUENTIN,NAMBOT,FRA,6.880,
10,DANYIL,BOLDYREV,UKR,6.930,
11,ALEKSANDR,SHILOV,RUS,7.310,
12,ARTEM,SAVELYEV,RUS,7.730,
13,ROBERT,STEWART-PATTERSON,CAN,7.910,
14,JUNGJU,KIM,KOR,8.890,
15,SEAN,MCCOLL,CAN,9.240,
16,ZIDA,MA,CHN,fall,
