Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,KILIAN,FISCHHUBER,AUT,5t6 5b5,3t5 4b5,4t9 4b5,Milano_(ITA)_2011,14 April - 17 April 2011,Men
2,JAKOB,SCHUBERT,AUT,5t11 5b11,3t8 4b7,3t3 3b3,Milano_(ITA)_2011,14 April - 17 April 2011,Men
3,RUSTAM,GELMANOV,RUS,4t7 5b7,3t6 4b6,3t6 3b6,Milano_(ITA)_2011,14 April - 17 April 2011,Men
4,GUILLAUME,GLAIRON MONDET,FRA,5t8 5b6,3t5 3b5,3t8 4b8,Milano_(ITA)_2011,14 April - 17 April 2011,Men
5,DMITRII,SHARAFUTDINOV,RUS,4t7 5b7,3t5 4b9,3t11 4b12,Milano_(ITA)_2011,14 April - 17 April 2011,Men
6,TSUKURU,HORI,JPN,5t8 5b5,3t7 3b4,1t6 3b9,Milano_(ITA)_2011,14 April - 17 April 2011,Men
7,GABRIELE,MORONI,ITA,5t6 5b5,2t2 3b3,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
8,ALEKSEY,RUBTSOV,RUS,4t14 5b16,2t4 3b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
9,KLEMEN,BECAN,SLO,4t9 4b8,2t5 2b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
10,LOÏC,GAIDIOZ,FRA,4t6 5b9,2t6 2b4,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
11,BAPTISTE,NOMINE,FRA,4t9 5b7,1t4 3b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
12,MYKHAYLO,SHALAGIN,UKR,3t5 5b6,1t5 1b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
13,IGNACIO,SANCHEZ GONZÁLEZ,ESP,3t5 5b12,0t 2b2,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
14,FABIEN,COMINA,FRA,4t10 5b9,0t 2b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
15,KEVIN,HEMUND,SUI,4t7 5b8,0t 2b6,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
16,THOMAS,CALEYRON,FRA,3t6 5b8,0t 1b1,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
17,BENJAMIN,BLASER,SUI,5t14 5b12,0t 1b2,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
18,OLIVIER,HEQUIN,FRA,4t6 4b6,0t 1b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
18,WOUTER,JONGENEELEN,NED,3t5 5b9,0t 1b5,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
20,STEWART,WATSON,GBR,4t4 5b5,,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
21,JONAS,BAUMANN,GER,2t2 5b8,,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
21,FRANCOIS,KAISER,FRA,3t5 4b6,,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
23,JURE,BECAN,SLO,3t7 3b6,,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
23,MAX,RUDIGIER,AUT,2t2 5b11,,,Milano_(ITA)_2011,14 April - 17 April 2011,Men
