Rank,Name,,Country,Qualification
1,YANNICK,FLOHÉ,GER,9.0
2,PHILIPP,MARTIN,GER,48.0
3,FEDIR,SAMOILOV,UKR,60.0
4,JAN,HOJER,GER,64.0
5,CARLOS,GRANJA,ECU,70.0
6,KOSTIANTYN,PAVLENKO,UKR,90.0
7,CHIA HSIANG,LIN,TPE,252.0
8,SERGII,TOPISHKO,UKR,450.0
9,NICKOLAIE,RIVADENEIRA,ECU,500.0
10,YAROSLAV,TKACH,UKR,546.0
11,AARON,PEÑARANDA,ECU,560.0
12,GAURAV,KUMAR,IND,1495.0
13,FERHAT,BEKMEZ,TUR,1650.0
14,JOSHUA,BRUYNS,RSA,1932.0
15,TİMUR,TAŞ,TUR,2730.0
