Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,VEDDRIQ,LEONARDO,INA,5.37,5.20 (wr) (asr),Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
2,KIROMAL,KATIBIN,INA,5.25 (wr),fall,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
3,MARCIN,DZIENSKI,POL,5.90,5.84,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
4,JOHN,BROSLER,USA,5.60 (par),6.89,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
5,MERRITT,ERNSBERGER,USA,6.19,6.13,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
6,JUN,YASUKAWA,JPN,6.253,6.23,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
7,PIERRE,REBREYEND,FRA,6.14,false start,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
8,YAROSLAV,TKACH,UKR,6.17,fall,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
9,LUDOVICO,FOSSALI,ITA,6.09,5.95,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
10,GUILLAUME,MORO,FRA,6.36,6.12,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
11,MICKAEL,MAWEM,FRA,6.28,6.79,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
12,MICHAEL,FINN-HENRY,USA,6.255,7.79,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
13,GIAN LUCA,ZODDA,ITA,6.06,7.88,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
14,KOSTIANTYN,PAVLENKO,UKR,6.02,8.28,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
15,CARLOS,GRANJA,ECU,6.03,8.73,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
16,LINUS,BADER,GER,6.32,11.09,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
17,JAN,KRIZ,CZE,6.40,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
18,ETHAN,PITCHER,CAN,6.54,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
19,AMIR,MAIMURATOV,KAZ,6.56,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
20,COLIN,DUFFY,USA,6.75,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
21,STEFAN,FELLNER,USA,6.76,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
22,CHRISTOPHER,COSSER,RSA,6.83,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
23,DARREN,SKOLNIK,USA,6.86,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
24,QUINN,O'FRANCIA,USA,6.87,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
25,JAN,HOJER,GER,6.88,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
26,PAOLO,RIVADENEIRA,ECU,6.91,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
27,NATHANIEL,COLEMAN,USA,6.97,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
28,NICKOLAIE,RIVADENEIRA,ECU,7.09,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
29,MICHAEL,PICCOLRUAZ,ITA,7.15,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
30,CADEN,REEDY,USA,7.26,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
31,NOAH,BRATSCHI,USA,7.36,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
32,TOBIAS,PLANGGER,AUT,7.55,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
33,SEAN,MCCOLL,CAN,7.81,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
34,KAI,HARADA,JPN,7.89,,Salt_Lake_City_(USA)_2021,28 May - 30 May 2021,Men
