Rank,Name,,Country,Qualification
1,JESSICA,PILZ,AUT,20.0
2,MIA,KRAMPL,SLO,36.0
3,ELNAZ,REKABI,IRI,42.0
4,TAMARA,ULZHABAYEVA,KAZ,75.0
5,HANNAH,MEUL,GER,90.0
6,ROXANA,WIENAND,GER,100.0
7,IEVGENIIA,KAZBEKOVA,UKR,132.0
8,TETIANA,KOLKOTINA,UKR,242.0
9,MAHYA,DARABIAN,IRI,360.0
10,MARGARYTA,ZAKHAROVA,UKR,472.5
11,NIKA,POTAPOVA,UKR,600.0
