Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,ADAM,ONDRA,CZE,4t5z 14 9,3t3z 7 6,3t3z 10 7,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
2,YOSHIYUKI,OGATA,JPN,2t5z 8 11,2t3z 6 8,2t4z 7 9,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
3,TOMOAKI,TAKATA,JPN,2t5z 6 12,2t3z 5 6,1t4z 4 12,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
4,KOKORO,FUJII,JPN,4t5z 5 5,2t2z 6 2,1t3z 1 4,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
5,NATHANIEL,COLEMAN,USA,3t5z 5 6,2t2z 4 3,1t3z 2 5,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
6,SOHTA,AMAGASA,JPN,3t5z 5 17,2t3z 10 11,0t3z 0 4,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
7,JERNEJ,KRUDER,SLO,3t5z 11 11,2t2z 7 6,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
8,ALEXANDER,MEGOS,GER,3t5z 8 9,2t2z 8 3,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
9,GREGOR,VEZONIK,SLO,2t5z 8 13,2t2z 10 10,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
10,DOMEN,SKOFIC,SLO,3t5z 3 6,1t2z 1 9,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
11,MANUEL,CORNU,FRA,3t5z 14 17,1t2z 2 5,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
12,MEJDI,SCHALCK,FRA,2t5z 5 18,1t2z 2 6,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
13,SEAN,BAILEY,USA,2t5z 4 13,1t2z 3 3,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
14,NICOLAI,UZNIK,AUT,3t5z 6 6,1t2z 3 4,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
15,ZAN,LOVENJAK SUDAR,SLO,3t4z 7 8,1t1z 1 1,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
16,ROSS,FULKERSON,USA,2t5z 7 13,1t1z 2 1,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
17,ALEKSEY,RUBTSOV,RUS,3t5z 10 7,1t1z 8 2,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
18,SASCHA,LEHMANN,SUI,2t5z 4 14,0t1z 0 4,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
19,NICOLAS,COLLIN,BEL,2t5z 4 13,0t1z 0 7,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
19,YANNICK,FLOHÉ,GER,3t4z 12 7,0t1z 0 7,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
21,ANZE,PEHARC,SLO,2t5z 9 10,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
21,REI,SUGIMOTO,JPN,2t5z 6 16,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
23,JAN,HOJER,GER,2t4z 3 6,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
23,JAKOB,SCHUBERT,AUT,2t5z 9 12,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
25,YUTA,IMAIZUMI,JPN,2t4z 6 11,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
25,KEITA,WATABE,JPN,2t4z 3 9,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
27,MICHAEL,PICCOLRUAZ,ITA,2t3z 5 4,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
27,SERGII,TOPISHKO,UKR,2t4z 5 7,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
29,ALEX,KHAZANOV,ISR,2t4z 5 10,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
29,SIMON,LORENZI,BEL,1t5z 1 7,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
31,COLIN,DUFFY,USA,2t4z 10 13,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
31,NINO,GRÜNENFELDER,SUI,1t5z 3 6,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
33,MARK,BRAND,NED,2t4z 11 17,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
33,BAPTISTE,OMETZ,SUI,1t5z 3 14,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
35,JULIEN,CLÉMENCE,SUI,2t2z 8 8,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
35,MICKAEL,MAWEM,FRA,1t5z 3 15,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
37,PAUL,JENFT,FRA,1t5z 3 11,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
37,NIMROD,MARCUS,ISR,1t4z 3 7,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
39,PIERRE,LE CERF,FRA,1t5z 3 19,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
39,SERGEI,LUZHETSKII,RUS,1t4z 4 10,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
41,MAX,KLEESATTEL,GER,1t5z 5 20,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
41,ATTILA ZSOMBOR,RADICS,HUN,1t3z 3 4,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
43,DYLAN,CHUAT,SUI,0t5z 0 9,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
43,VADIM,TIMONOV,RUS,1t4z 2 6,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
45,EDVARDS,GRUZITIS,LAT,1t4z 4 14,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
45,JAN-LUCA,POSCH,AUT,0t5z 0 16,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
47,MATIC,KOTAR,SLO,1t4z 6 11,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
47,DON,VAN LAERE,NED,0t4z 0 5,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
49,GEVA,LEVIN,ISR,0t4z 0 7,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
49,FILIP,SCHENK,ITA,1t3z 3 5,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
49,SOMA,STROMMER,HUN,0t4z 0 7,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
52,CHRISTOPH,SCHWEIGER,GER,1t3z 3 6,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
53,BENJAMIN,BLASER,SUI,0t4z 0 8,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
53,NILS,FAVRE,SUI,1t3z 4 5,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
53,FEDIR,SAMOILOV,UKR,0t4z 0 8,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
56,TIM,REUSER,NED,1t3z 4 10,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
57,ROLANDS,RUGENS,LAT,0t4z 0 9,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
57,FREDRIK,SERLACHIUS,SWE,1t3z 7 10,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
59,DAVIDE MARCO,COLOMBO,ITA,0t4z 0 11,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
59,PHILIPP,GEISENHOFF,SUI,0t4z 0 11,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
59,AXEL,LINDFORS,FIN,1t2z 3 5,,,Meiringen_(SUI)_2021,16 April - 17 April 2021,Men
