Rank,Name,,Country,event_name,date,gender
1,KAI,HARADA,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
2,TOMOA,NARASAKI,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
3,JAKOB,SCHUBERT,AUT,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
4,KOKORO,FUJII,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
5,ADAM,ONDRA,CZE,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
6,JAN,HOJER,GER,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
7,MICKAEL,MAWEM,FRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
8,MEICHI,NARASAKI,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
9,SASCHA,LEHMANN,SUI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
10,JONGWON,CHON,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
11,ALEXANDER,MEGOS,GER,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
12,JERNEJ,KRUDER,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
13,ALEKSEY,RUBTSOV,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
14,BASSA,MAWEM,FRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
15,TOMOAKI,TAKATA,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
16,MANUEL,CORNU,FRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
17,RUDOLPH,RUANA,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
18,DOMEN,SKOFIC,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
19,MARCELLO,BOMBARDI,ITA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
20,WILLIAM,BOSI,GBR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
21,MARCIN,DZIENSKI,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
22,LUDOVICO,FOSSALI,ITA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
23,RISHAT,KHAIBULLIN,KAZ,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
24,CHEUNG-CHI SHOJI,CHAN,HKG,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
25,YONGSU,LEE,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
26,NATHANIEL,COLEMAN,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
27,YANNICK,FLOHÉ,GER,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
28,CARLOS FELIPE,GRANJA LOPEZ,ECU,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
29,YOSHIYUKI,OGATA,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
30,DIMITRI,VOGT,SUI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
31,REI,SUGIMOTO,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
32,ISAAC,ESTEVEZ,ECU,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
33,HANNES,PUMAN,SWE,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
34,LOÏC,TIMMERMANS,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
35,YUFEI,PAN,CHN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
36,GEORG,PARMA,AUT,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
37,JONATAN,FLOR VAZQUEZ,ESP,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
38,FEDIR,SAMOILOV,UKR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
39,WILLIAM,RIDAL,GBR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
40,NIMROD,MARCUS,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
41,GHOLAMALI,BARATZADEH,IRI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
42,SIMON,LORENZI,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
43,SEAN,MCCOLL,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
44,HUALONG,SONG,CHN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
45,DANNY,VALENCIA,ECU,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
46,YUVAL,SHEMLA,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
47,LUKA,POTOCAR,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
48,DONGHYUN,JANG,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
49,MINYOUNG,LEE,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
50,MIKEL ASIER,LINACISORO MOLINA,ESP,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
51,HANWOOL,KIM,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
52,GALO,HERNANDEZ,ECU,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
53,NICKOLAIE,RIVADENEIRA,ECU,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
54,RONNY,ESCOBAR,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
55,KA-CHUN,YAU,HKG,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
56,JASON,HOLOWACH,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
57,MICHAEL,PICCOLRUAZ,ITA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
58,NICOLAS,COLLIN,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
59,ALEX,KHAZANOV,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
60,LUCAS,UCHIDA,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
61,CHINGKHEINGANBA,MAIBAM,IND,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
62,CESAR,GROSSO,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
63,PETER,KURIC,SVK,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
64,ARTYOM,DEVYATERIKOV,KAZ,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
65,RAM,LEVIN,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
66,SEMEN,OVCHINNIKOV,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
67,SUNGBO,SEO,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
68,OLEKSII,KRYNETSKYI,UKR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
69,PEDRO FERREIRA,NICOLOSO,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
70,FELIPE,HO FOGANHOLO,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
71,JEAN,OURIQUES,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
72,CALRIN,CURTIS,RSA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
73,MACIEJ,DOBRZANSKI,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
74,BORJA,FARAH,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
75,GEORGE,SANDERS,NZL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
76,SANTIAGO,GARCIA,ARG,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
77,BENJAMIN,AYALA,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
78,MATTHAIOS,VALSAMIDIS,GRE,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
79,JAVIER,CANO BLAZQUEZ,ESP,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
80,JOHN,BROSLER,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
81,YARDEN,PILPEL,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
82,GAURAV,KUMAR,IND,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
83,GIGA,JANKHOTELI,GEO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
84,OR,MINIELY,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
85,BHARATH,PEREIRA,IND,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
86,PEDRO,BELLO,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
87,ORFEAS,TSIAOUSIS,GRE,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Men
1,JANJA,GARNBRET,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
2,JESSICA,PILZ,AUT,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
3,AKIYO,NOGUCHI,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
4,MIHO,NONAKA,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
5,PETRA,KLINGLER,SUI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
6,SOL,SA,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
7,STASA,GEJO,SRB,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
8,MEI,KOTAKE,JPN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
9,JAIN,KIM,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
10,ALEKSANDRA,MIROSLAW,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
11,MARGO,HAYES,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
12,LAURA,STÖCKLER,AUT,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
13,ASHIMA,SHIRAISHI,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
14,KYRA,CONDIE,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
15,ALANNAH,YIP,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
16,ANNA,BROZEK,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
17,IEVGENIIA,KAZBEKOVA,UKR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
18,MIA,KRAMPL,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
19,CLAIRE,BUHRFEIND,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
20,IULIIA,PANTELEEVA,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
21,CHLOE,CAULIER,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
22,EKATERINA,KIPRIIANOVA,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
23,KATJA,DEBEVEC,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
24,SANDRA,LETTNER,AUT,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
25,ALEKSANDRA,KALUCKA,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
26,OCEANIA,MACKENZIE,AUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
27,ANNE-SOPHIE,KOLLER,SUI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
28,ANNA,TSYGANOVA,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
29,MANON,HILY,FRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
30,BROOKE,RABOUTOU,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
31,PATRYCJA,CHUDZIAK,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
32,ANOUCK,JAUBERT,FRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
33,ALEJANDRA,CONTRERAS,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
34,DI,NIU,CHN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
35,ALEX,PUCCIO,USA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
36,NATALIA,KALUCKA,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
37,LESLIE,ROMERO,VEN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
38,URSKA,REPUSIC,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
39,VITA,LUKAN,SLO,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
40,ANDREA,KÜMIN,SUI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
41,FRANCIS,GUILLEN,VEN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
42,HELOÏSE,DOUMONT,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
43,CELINE,CUYPERS,BEL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
44,IDA,KUPS,POL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
45,ALMA,BESTVATER,GER,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
46,MARGARYTA,ZAKHAROVA,UKR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
47,TIFFANY,MELIUS,AUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
48,ELENA,KRASOVSKAIA,RUS,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
49,BABETTE,ROY,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
50,MARGARITA,AGAMBAYEVA,KAZ,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
51,JENNIFER,WOOD,GBR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
52,JEONGRAN,KO,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
53,REBECCA,FRANGOS,CAN,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
54,YOUJIN,CHA,KOR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
55,ANDREA,EBNER,ITA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
56,MARTINA,ZANETTI,ITA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
57,NAAMA,YOHAI,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
58,VALERI,KREMER,ISR,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
59,MUYKUAY,SILVA,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
60,THAIS MAKINO,SHIRAIWA,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
61,LUANA,RISCADO,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
62,CAMILA,MACEDO,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
63,LUCY,WHITEHEAD,NZL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
64,ERICA,GATLAND,NZL,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
65,ALEJANDRA,INZUNZA,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
66,PATRÍCIA,ANTUNES,BRA,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
