Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,TOMÁS,MRÁZEK,CZE,top,40-,47,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
2,JAKOB,SCHUBERT,AUT,top,39.5+,41-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
3,SACHI,AMMA,JPN,top,39.5+,38-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
4,PATXI,USOBIAGA LAKUNZA,ESP,29,38+,32-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
5,MANUEL,ROMAIN,FRA,45-,37+,32-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
6,MAGNUS,MIDTBOE,NOR,46,37-,30-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
7,RAMÓN,JULIAN PUIGBLANQUE,ESP,41-,top,11,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
8,JORG,VERHOEVEN,NED,top,38-,10.5,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
9,FLAVIEN,GUERIMAND,FRA,46-,36-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
10,ROMAIN,DESGRANGES,FRA,top,33-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
11,FABIEN,DUGIT,FRA,45+,33-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
12,MICHAËL,FUSELIER,FRA,29-,31,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
13,MIKHAIL,CHERNIKOV,RUS,29-,24,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
14,HIDEKAZU,ITO,JPN,38-,22-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
15,MATEJ,SOVA,SLO,30-,17.8+,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
16,MARIO,LECHNER,AUT,top,17.8,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
17,FABIEN,COMINA,FRA,41-,17.8,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
18,DIEGO MARTÍN,MARSELLA PRADO,ARG,29,17.8,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
19,JAHA,KIM,KOR,28,17.8,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
20,QINGHUA,WANG,CHN,27+,17.5,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
21,JIACUO,SUOLANG,CHN,28,17.5-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
22,MATTHIAS,MÜLLER,SUI,30-,17-,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
23,ALEKSEY,PEROV,KAZ,27+,11+,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
24,HYUNBIN,MIN,KOR,35,6.5+,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
25,XIANGYANG,YE,CHN,28+,6.5,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
26,ALEXEY,MOLCHANOV,KAZ,27+,5.5+,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
27,JINYU,PAN,CHN,27,,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
28,HAIBIN,QU,CHN,25+,,,Qinghai_(CHN)_2008,27 June - 28 June 2008,Men
1,JOHANNA,ERNST,AUT,top,top,top,Qinghai_(CHN)_2008,27 June - 28 June 2008,Women
2,NATALIJA,GROS,SLO,42,50-,43+,Qinghai_(CHN)_2008,27 June - 28 June 2008,Women
3,CHARLOTTE,DURIF,FRA,43,44-,42-,Qinghai_(CHN)_2008,27 June - 28 June 2008,Women
4,YANA,CHERESHNEVA,RUS,37-,48-,40,Qinghai_(CHN)_2008,27 June - 28 June 2008,Women
