Rank,Name,,Country,Qualification,Semi-Final,Final
52,TOM,O'HALLORAN,AUS,37   42. | 29   56. [49.36],,
53,JAN,HOJER,GER,34+  48. | 30+  48. [50.75],,
54,LUCAS,UCHIDA,CAN,32+  60. | 31+  40. [51.72],,
55,JERNEJ,KRUDER,SLO,34+  48. | 29+  55. [52.96],,
56,JESSE,GRUPPER,USA,37   42. | 26+  64. [53.17],,
57,SEAN,FAULKNER,CAN,33+  55. | 30+  48. [53.65],,
58,PHILIPP,MARTIN,GER,30   69. | 31+  40. [55.57],,
59,ZACH,GALLA,USA,32+  60. | 30+  48. [55.73],,
60,DAVID,BARRANS,GBR,32+  60. | 30   54. [57.63],,
61,ADRIEN,LEMAIRE,FRA,33+  55. | 28+  57. [57.99],,
62,CHRISTOPHER,COSSER,RSA,33+  55. | 27+  62. [59.45],,
63,MICKAEL,MAWEM,FRA,31+  65. | 28+  57. [61.93],,
64,STEFAN,SCHERZ,AUT,33+  55. | 24+  68. [62.71],,
65,DIMITRI,VOGT,SUI,34+  48. | 10+  81. [64.67],,
66,NICOLAS,COLLIN,BEL,30+  67. | 27   63. [65.21],,
67,MARK,BRAND,NED,30+  67. | 26+  64. [66.24],,
68,MISCHA,RADT,NED,32   64. | 24+  68. [66.45],,
69,VOJTECH,TROJAN,CZE,32+  60. | 18+  76. [68.81],,
70,SVEN,LEMPEREUR,BEL,33+  55. | 10   84. [69.20],,
71,STEPAN,VOLF,CZE,28+  74. | 26+  64. [69.35],,
72,RONNY,ESCOBAR,CHI,31   66. | 21+  71. [69.41],,
73,TOMAS,PLEVKO,SVK,30   69. | 24+  68. [69.99],,
74,MYKHAYIL,TKACHUK,UKR,30   69. | 21+  71. [71.99],,
75,LUDOVICO,FOSSALI,ITA,23+  81. | 26   67. [73.67],,
76,CARLOS FELIPE,GRANJA LOPEZ,ECU,26+  75. | 21+  71. [73.99],,
77,BASSA,MAWEM,FRA,25+  76. | 21+  71. [75.46],,
77,GUY,MCNAMEE,CAN,25+  76. | 21+  71. [75.46],,
79,HRITIK,MARNE,IND,25+  76. | 18+  76. [77.50],,
80,BENJAMIN,AYALA,CHI,25+  76. | 16   79. [78.50],,
81,JAVIER,CANO BLAZQUEZ,ESP,25+  76. | 11   80. [78.99],,
82,KINDAR,MCNAMEE,CAN,18+  85. | 18+  76. [80.90],,
83,EMILIO,RIOS,CHI,20   82. | 10+  81. [82.00],,
84,BEN,ABEL,AUS,15+  86. | 10+  81. [83.98],,
85,KRISTOFFER,LINDBÄCK,SWE,19+  83. | 9+  85. [84.24],,
86,PAUL,BRAND,NED,19   84. | 9+  85. [84.75],,
87,MARCIN,DZIENSKI,POL,12+  87. | 8   87. [87.00],,
88,JAN,KRIZ,CZE,9+  88. | 7   88. [88.00],,
