Rank,Name,,Country,Qualification,Final
1,BASSA,MAWEM,FRA,5.699,5.73
2,VLADISLAV,DEULIN,RUS,5.874,11.54
3,ASPAR,ASPAR,INA,5.838,6.08
4,LONG,CAO,CHN,5.731,10.00
5,ALEKSANDR,SHIKOV,RUS,6.096,7.12
6,SERGEI,RUKIN,RUS,5.809,7.26
7,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.826,7.58
8,DMITRII,TIMOFEEV,RUS,5.913,fall
9,ALEKSANDR,SHILOV,RUS,6.207,6.06
10,STANISLAV,KOKORIN,RUS,6.163,6.094
11,AMIR,MAIMURATOV,KAZ,6.083,6.096
12,GIAN LUCA,ZODDA,ITA,6.230,6.31
13,GEORGY,ARTAMONOV,RUS,6.162,6.80
14,LUDOVICO,FOSSALI,ITA,6.157,6.96
15,JAN,KRIZ,CZE,6.222,7.66
16,LEV,RUDATSKIY,RUS,6.138,7.68
17,MARCIN,DZIENSKI,POL,6.236,
18,FATCHUR,ROJI,INA,6.242,
19,ARSENII,BOGOMOLOV,RUS,6.246,
20,JOE,GOODACRE,USA,6.270,
21,NIKOLAI,IARILOVETS,RUS,6.284,
22,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,6.288,
23,MICKAEL,MAWEM,FRA,6.344,
24,ALFIAN,MUHAMMAD FAJRI,INA,6.362,
25,EHSAN,ASRAR,IRI,6.418,
26,CARLOS,GRANJA,ECU,6.544,
27,SERGEI,LUZHETSKII,RUS,6.679,
28,LUKAS,KNAPP,AUT,6.707,
29,KEITA,DOHI,JPN,6.831,
30,RISHAT,KHAIBULLIN,KAZ,6.878,
31,JOSH,LEVIN,USA,6.898,
32,MANUEL,CORNU,FRA,6.900,
33,YUFEI,PAN,CHN,6.903,
34,DANNY,VALENCIA,ECU,6.996,
35,MATTHIAS,ERBER,AUT,7.014,
36,JAN,HOJER,GER,7.016,
37,ALISHER,MURAT,KAZ,7.076,
38,SAM,AVEZOU,FRA,7.153,
39,MICHAEL,PICCOLRUAZ,ITA,7.168,
40,SEAN,MCCOLL,CAN,7.170,
41,JAKOB,SCHUBERT,AUT,7.211,
42,KOKORO,FUJII,JPN,7.247,
43,ALEKSEY,RUBTSOV,RUS,7.276,
44,RUDOLPH,RUANA,USA,7.319,
45,CESAR,GROSSO,BRA,7.329,
46,TAISEI,ISHIMATSU,JPN,7.353,
47,JOHN,BROSLER,USA,7.395,
48,CHEUNG-CHI SHOJI,CHAN,HKG,7.410,
49,REI,SUGIMOTO,JPN,7.502,
50,SASCHA,LEHMANN,SUI,7.597,
51,ODE RIFALDI,RIDJAYA,INA,7.684,
52,YANNICK,FLOHÉ,GER,7.689,
53,JERNEJ,KRUDER,SLO,7.711,
54,WILLIAM,BOSI,GBR,7.725,
55,ALIMZHAN,MYRZABEKOV,KAZ,7.733,
56,WILLIAM,RIDAL,GBR,7.736,
57,GEORG,PARMA,AUT,7.761,
58,JONGWON,CHON,KOR,7.870,
59,SIMON,LORENZI,BEL,7.929,
60,LASA,TEMI,INA,7.952,
61,YUDAI,IKEDA,JPN,7.967,
62,MARK,CHAN CHONG KIAT,SGP,7.992,
63,NIMROD,MARCUS,ISR,8.108,
64,CHI-FUNG,AU,HKG,8.112,
65,ALBAN,LEVIER,FRA,8.145,
66,SINGH,ADARSH,IND,8.154,
67,STEFANO,GHISOLFI,ITA,8.325,
68,RAM,LEVIN,ISR,8.369,
69,CHRISTOPHER,COSSER,RSA,8.412,
70,LUKAS,FRANCKAERT,BEL,8.453,
71,KA-CHUN,YAU,HKG,8.532,
72,HANNES,PUMAN,SWE,8.547,
73,LOÏC,TIMMERMANS,BEL,8.564,
74,ZACH,GALLA,USA,8.600,
75,JULES,KLUWER,NED,8.623,
76,FRANCESCO,VETTORATA,ITA,8.663,
77,ANZE,PEHARC,SLO,8.787,
78,NICOLAS,COLLIN,BEL,9.131,
79,DMITRY,KARAVAEV,BLR,9.416,
80,ALEX,KHAZANOV,ISR,9.530,
81,DOMEN,SKOFIC,SLO,9.627,
82,CHEUK-HEI,HO,HKG,9.643,
83,YUVAL,SHEMLA,ISR,9.684,
84,ALEXANDER,MEGOS,GER,9.685,
85,DMITRII,FAKIRIANOV,RUS,9.694,
86,GUILLAUME,MORO,FRA,10.134,
87,GHOLAMALI,BARATZADEH,IRI,10.556,
88,MARCELLO,BOMBARDI,ITA,11.015,
89,TIM,REUSER,NED,11.997,
90,PHILIPP,MARTIN,GER,12.711,
91,ARTEM,KHABIBULLIN,RUS,false start,
