Rank,Name,,Country,Qualification,Semi-Final,Final
1,YOSHIYUKI,OGATA,JPN,5t5z 6 5,4t4z 11 6,4t4z 11 9
2,TOMOA,NARASAKI,JPN,5t5z 13 11,4t4z 12 5,3t4z 5 5
3,JONGWON,CHON,KOR,4t5z 9 10,4t4z 7 6,3t4z 6 7
4,JAN,HOJER,GER,3t4z 5 5,4t4z 11 6,2t4z 4 6
5,ADAM,ONDRA,CZE,5t5z 9 9,4t4z 14 13,2t3z 3 4
6,SEAN,MCCOLL,CAN,3t4z 8 8,3t4z 4 5,1t3z 3 9
7,TAISEI,ISHIMATSU,JPN,4t5z 11 11,3t4z 8 7,
8,NATHANIEL,COLEMAN,USA,4t5z 6 8,3t4z 8 8,
9,KOKORO,FUJII,JPN,4t4z 11 10,3t4z 9 12,
10,MEICHI,NARASAKI,JPN,5t5z 13 7,3t4z 10 8,
11,TOMOAKI,TAKATA,JPN,3t5z 5 18,2t4z 3 6,
12,KAI,HARADA,JPN,5t5z 10 9,2t4z 4 8,
13,ALEXANDER,MEGOS,GER,4t4z 13 11,2t4z 4 9,
14,SAM,MCQUEEN,USA,4t5z 10 11,2t3z 4 7,
15,REI,KAWAMATA,JPN,4t5z 11 15,1t4z 1 10,
16,KEITA,DOHI,JPN,5t5z 12 9,1t4z 2 9,
17,ARTHUR,TERNANT,FRA,3t5z 7 7,1t3z 1 9,
18,SEAN,BAILEY,USA,4t4z 4 4,1t3z 3 10,
19,YANNICK,FLOHÉ,GER,4t5z 8 8,1t3z 4 4,
20,MATT,FULTZ,USA,4t5z 8 9,1t3z 6 12,
21,LEO,AVEZOU,FRA,3t4z 10 12,,
21,JERNEJ,KRUDER,SLO,3t4z 4 5,,
23,ALFONS,DORNAUER,AUT,3t4z 7 8,,
23,MIKEL ASIER,LINACISORO MOLINA,ESP,3t4z 14 12,,
25,AIDAN,ROBERTS,GBR,3t3z 3 3,,
25,RUDOLPH,RUANA,USA,3t3z 5 4,,
27,SIMON,LORENZI,BEL,2t4z 8 8,,
27,REI,SUGIMOTO,JPN,3t3z 4 4,,
29,NICOLAS,COLLIN,BEL,2t4z 2 11,,
29,JAN-LUCA,POSCH,AUT,2t4z 8 14,,
31,MICKAEL,MAWEM,FRA,2t4z 2 14,,
31,ZANDER,WALLER,USA,2t4z 11 13,,
33,MICHAEL,PICCOLRUAZ,ITA,2t3z 3 4,,
33,GREGOR,VEZONIK,SLO,2t3z 2 3,,
35,ALEX,KHAZANOV,ISR,2t3z 3 5,,
35,LUCAS,UCHIDA,CAN,2t3z 4 3,,
37,MARCELLO,BOMBARDI,ITA,2t3z 5 6,,
37,JASON,HOLOWACH,CAN,2t3z 4 5,,
39,PHILIPP,MARTIN,GER,2t3z 5 4,,
39,HÉCTOR ADRIÁN,MARTÍNEZ CORDERO,MEX,2t3z 12 13,,
41,ZACH,RICHARDSON,CAN,1t4z 2 15,,
41,NATHAN,SMITH,CAN,2t3z 5 5,,
43,BASSA,MAWEM,FRA,1t4z 7 24,,
43,WILLIAM,RIDAL,GBR,1t4z 1 5,,
45,ALBERTO,GINÉS LÓPEZ,ESP,1t3z 4 16,,
45,JOSH,LEVIN,USA,1t3z 2 8,,
47,ZACH,GALLA,USA,1t3z 3 7,,
47,DIEGO,LEQUERICA BUSCAGLIA,PER,1t3z 7 4,,
49,JOE,GOODACRE,USA,1t3z 5 7,,
49,CARLOS FELIPE,GRANJA LOPEZ,ECU,1t2z 6 10,,
51,LEONARDO,DE RIVERO HUAMAN,PER,1t2z 4 9,,
51,FRANZ JOSEF,WEBER,MEX,0t3z 0 10,,
53,JOHN,BROSLER,USA,0t2z 0 4,,
53,GERMAN DAVID,SANCHEZ,MEX,0t1z 0 6,,
55,ALEJANDRO,MARTINEZ CORDERO,MEX,0t0z 0 0,,
55,NICKOLAIE,RIVADENEIRA,ECU,0t2z 0 11,,
57,FRANKLIN,CARDENAS VICENTE,PER,0t0z 0 0,,
