Rank,Name,,Country,Qualification,Semi-Final,Final
99,LUDOVICO,FOSSALI,ITA,1t3z 4 6,,
99,OR,MINIELY,ISR,0t2z 0 3,,
101,FATCHUR,ROJI,INA,1t2z 3 2,,
101,ALEKSANDR,SHIKOV,RUS,0t2z 0 7,,
103,BEN,ABEL,AUS,1t2z 3 3,,
103,TOMI,SALO,FIN,0t2z 0 10,,
105,JOÃO,EVORA,POR,1t2z 4 5,,
105,TOMMI,HAAPALA,FIN,0t1z 0 2,,
107,SINGH,ADARSH,IND,1t2z 4 6,,
107,MARK,CHAN CHONG KIAT,SGP,0t1z 0 4,,
109,BOHDAN,BOTNAR,UKR,0t3z 0 8,,
109,ALIAKSANDR,IVANOU,BLR,0t1z 0 6,,
111,IONUT-COSMIN,ATOMEI,ROU,0t1z 0 8,,
111,ODE RIFALDI,RIDJAYA,INA,0t3z 0 11,,
113,ASPAR,ASPAR,INA,0t0z 0 0,,
113,DANNY,VALENCIA,ECU,0t2z 0 2,,
115,ALFIAN,MUHAMMAD FAJRI,INA,0t2z 0 8,,
