Rank,Name,,Country,Qualification,Final
1,YILING,SONG,CHN,7.880,7.38
2,ANOUCK,JAUBERT,FRA,8.024,7.68
3,IULIIA,KAPLINA,RUS,7.464,8.23
4,ANNA,TSYGANOVA,RUS,7.999,fall
5,ELIZAVETA,IVANOVA,RUS,8.130,7.79
6,ARIES,SUSANTI RAHAYU,INA,7.711,7.91
7,ALEKSANDRA,KALUCKA,POL,8.438,9.68
8,ELENA,REMIZOVA,RUS,7.860,10.71
9,AURELIA,SARISSON,FRA,8.462,8.34
10,ANNA,CALANCA,ITA,8.544,8.47
11,PATRYCJA,CHUDZIAK,POL,8.395,8.48
12,ANDREA,ROJAS,ECU,8.590,8.61
13,EKATERINA,BARASHCHUK,RUS,8.577,8.81
14,MINGWEI,NI,CHN,7.967,10.01
15,ANNA,BROZEK,POL,8.259,10.41
16,MARIIA,KRASAVINA,RUS,8.102,fall
17,POLINA,AKSENOVA,RUS,8.635,
18,KSENIIA,PETROVA,RUS,8.693,
19,POLINA,KULAGINA,RUS,8.750,
20,VICTOIRE,ANDRIER,FRA,8.851,
21,ALEXANDRA,ELMER,AUT,8.924,
22,ELENA,KRASOVSKAIA,RUS,9.051,
23,ASSEL,MARLENOVA,KAZ,9.079,
24,TAMARA,ULZHABAYEVA,KAZ,9.154,
25,KAMILLA,KUSHAEVA,RUS,9.161,
26,LAURA,LAMMER,AUT,9.205,
27,ELISABETTA,DALLA BRIDA,ITA,9.232,
28,NURUL,IQAMAH,INA,9.260,
29,MAHYA,DARABIAN,IRI,9.316,
30,RONG,JIANG,CHN,9.339,
31,MARGARITA,AGAMBAYEVA,KAZ,9.389,
32,AZAM,KARAMI,IRI,9.424,
33,ALANNAH,YIP,CAN,9.509,
34,PETRA,KLINGLER,SUI,9.539,
35,HUNG YING,LEE,TPE,9.691,
36,ELENA,TIMOFEEVA,RUS,9.828,
37,KYRA,CONDIE,USA,9.902,
38,SIENNA,KOPF,USA,9.911,
39,NATALIA,GROSSMAN,USA,10.049,
40,JANJA,GARNBRET,SLO,10.050,
41,SANDRA,LETTNER,AUT,10.069,
42,FUTABA,ITO,JPN,10.102,
43,JESSICA,PILZ,AUT,10.116,
44,KOBRA,LAKZAIIFAR,IRI,10.128,
45,ELNAZ,REKABI,IRI,10.255,
46,ASHLEY,FISHER,USA,10.331,
47,IULIIA,PANTELEEVA,RUS,10.356,
48,ALMA,BESTVATER,GER,10.431,
49,VALENTINA,AGUADO,ARG,10.488,
50,YUETONG,ZHANG,CHN,10.593,
51,JULIA,CHANOURDIE,FRA,10.627,
52,EMILY,PHILLIPS,GBR,10.970,
53,ISABEL,GIFFORD,USA,10.972,
54,KATJA,DEBEVEC,SLO,11.002,
55,VIKTORIIA,MESHKOVA,RUS,11.154,
56,ANDREA,KÜMIN,SUI,11.171,
57,CHLOE,CAULIER,BEL,11.236,
58,SHAUNA,COXSEY,GBR,11.274,
59,ANNA,ZAIKINA,RUS,11.364,
60,MAO,NAKAMURA,JPN,11.438,
61,FANNY,GIBERT,FRA,11.656,
62,HANA,KRIZOVA,CZE,11.936,
63,MANON,HILY,FRA,11.983,
64,LAURA,ROGORA,ITA,12.017,
65,LUCKA,RAKOVEC,SLO,12.287,
66,HELOÏSE,DOUMONT,BEL,12.628,
67,ANNE-SOPHIE,KOLLER,SUI,12.693,
68,VIRGITA,NADYA PUTRI,INA,12.818,
69,MIA,KRAMPL,SLO,12.849,
70,SALSABILA,SALSABILA,INA,13.464,
71,WAI-PING,YU,HKG,13.878,
72,NATSUMI,HIRANO,JPN,13.934,
73,CHOIRUL,UMI C,INA,14.425,
74,VANDA,MICHALKOVA,SVK,15.230,
75,NIKKI,VAN BERGEN,NED,15.917,
76,HANNAH,SEALY-FISHER,RSA,18.992,
