Rank,Name,,Country
1,TOMOA,NARASAKI,JPN
2,JAKOB,SCHUBERT,AUT
3,RISHAT,KHAIBULLIN,KAZ
4,KAI,HARADA,JPN
5,MEICHI,NARASAKI,JPN
6,KOKORO,FUJII,JPN
7,MICKAEL,MAWEM,FRA
8,ALEXANDER,MEGOS,GER
9,LUDOVICO,FOSSALI,ITA
10,SEAN,MCCOLL,CAN
11,YANNICK,FLOHÉ,GER
12,NATHANIEL,COLEMAN,USA
13,RUDOLPH,RUANA,USA
14,MICHAEL,PICCOLRUAZ,ITA
15,KEITA,DOHI,JPN
16,JERNEJ,KRUDER,SLO
17,JAN,HOJER,GER
18,ADAM,ONDRA,CZE
19,STEFANO,GHISOLFI,ITA
20,JONGWON,CHON,KOR
