Rank,Name,,Country
1,JANJA,GARNBRET,SLO
2,AKIYO,NOGUCHI,JPN
3,SHAUNA,COXSEY,GBR
4,ALEKSANDRA,MIROSLAW,POL
5,MIHO,NONAKA,JPN
6,AI,MORI,JPN
7,FUTABA,ITO,JPN
8,PETRA,KLINGLER,SUI
9,BROOKE,RABOUTOU,USA
10,JESSICA,PILZ,AUT
11,ANOUCK,JAUBERT,FRA
12,JULIA,CHANOURDIE,FRA
13,CHAEHYUN,SEO,KOR
14,MIA,KRAMPL,SLO
15,DI,NIU,CHN
16,VITA,LUKAN,SLO
17,LUCKA,RAKOVEC,SLO
18,ALANNAH,YIP,CAN
19,NANAKO,KURA,JPN
20,IEVGENIIA,KAZBEKOVA,UKR
