Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,ADAM,ONDRA,CZE,5t5z 7 6,4t4z 10 9,4t4z 10 9,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
2,TOMOA,NARASAKI,JPN,5t5z 7 6,3t4z 3 4,3t3z 7 6,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
3,REI,SUGIMOTO,JPN,5t5z 8 8,3t4z 12 12,2t3z 6 7,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
4,KOKORO,FUJII,JPN,5t5z 7 7,2t4z 3 11,1t3z 3 5,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
5,JONGWON,CHON,KOR,5t5z 10 9,2t4z 5 9,1t3z 3 8,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
6,TOMOAKI,TAKATA,JPN,5t5z 8 8,2t4z 5 9,1t1z 1 1,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
7,ALEKSEY,RUBTSOV,RUS,5t5z 10 8,2t4z 5 11,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
8,YOSHIYUKI,OGATA,JPN,5t5z 8 8,2t4z 6 7,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
9,TAISEI,ISHIMATSU,JPN,5t5z 12 9,2t4z 7 9,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
10,KEITA,DOHI,JPN,5t5z 7 7,2t4z 8 14,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
11,JERNEJ,KRUDER,SLO,5t5z 8 7,2t3z 5 8,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
12,TIM,REUSER,NED,5t5z 8 8,2t2z 7 5,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
13,YUFEI,PAN,CHN,5t5z 13 7,2t2z 12 8,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
14,ALEX,KHAZANOV,ISR,5t5z 8 6,1t4z 5 18,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
15,ANZE,PEHARC,SLO,5t5z 8 7,1t3z 2 4,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
16,ALEXANDER,MEGOS,GER,5t5z 14 6,1t2z 2 3,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
17,NATHANIEL,COLEMAN,USA,5t5z 6 6,1t2z 3 5,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
18,STEFANO,GHISOLFI,ITA,4t5z 4 7,1t2z 6 10,,Meiringen_(SUI)_2019,5 April - 6 April 2019,Men
