Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [3.00],top,top
2,MINA,MARKOVIC,SLO,40   5. | top  1. [4.74],45+,top
3,ANAK,VERHOEVEN,BEL,top  1. | top  1. [3.00],top,48+
4,JESSICA,PILZ,AUT,top  1. | top  1. [3.00],43+,48+
5,JULIA,CHANOURDIE,FRA,38+  9. | top  1. [6.54],42,44+
6,SALOMÉ,ROMAIN,FRA,34+  15. | 38+  13. [15.15],42+,36+
7,HÉLÈNE,JANICOT,FRA,40+  4. | top  1. [4.24],39,36+
8,YUKA,KOBAYASHI,JPN,35.5+  12. | 40+  9. [10.95],40+,35+
9,MAGDALENA,RÖCK,AUT,38+  9. | 38+  13. [11.32],36+,
10,TJASA,KALAN,SLO,39   8. | 40+  9. [8.94],35,
11,KATHARINA,POSCH,AUT,37+  11. | top  1. [7.04],29,
12,DELANEY,MILLER,USA,39+  6. | top  1. [5.41],28+,
13,MATHILDE,BECERRA,FRA,39+  6. | 38   15. [10.04],28+,
14,NIKKI,VAN BERGEN,NED,35+  13. | 39   12. [12.73],28+,
15,CHRISTINE,SCHRANZ,AUT,34+  15. | 40+  9. [13.04],28+,
16,ALIZÉE,DUFRAISSE,FRA,34+  15. | 38   15. [16.23],28,
17,CLAUDIA,GHISOLFI,ITA,32+  22. | 37+  17. [20.17],28,
18,BARBARA,BACHER,AUT,34   20. | 33   21. [20.49],27+,
19,MOLLY,THOMPSON-SMITH,GBR,33   21. | 30+  24. [23.37],27+,
20,TINA JOHNSEN,HAFSAAS,NOR,28+  30. | 31   22. [25.98],27+,
21,ANDREA,KÜMIN,SUI,29+  24. | 30   29. [26.93],27+,
22,JENNY,LAVARDA,ITA,35+  13. | 37+  17. [15.80],27,
23,ALINA,RING,SUI,34+  15. | 37+  17. [17.73],27,
23,REBEKKA,STOTZ,SUI,34+  15. | 37+  17. [17.73],27,
25,NETTA,FREDMAN,ISR,29+  24. | 31   22. [23.72],27,
26,NOLWEN,BERTHIER,FRA,30+  23. | 30+  24. [24.45],25+,
27,DINARA,FAKHRITDINOVA,RUS,29   27. | 30+  24. [26.98],,
27,MICHELLE,HULLIGER,SUI,29   27. | 30+  24. [26.98],,
29,CHIARA MARIA,CLOSTERMANN,GER,29+  24. | 27   30. [27.39],,
30,EVGENIIA,MALAMID,RUS,26+  32. | 30+  24. [28.84],,
31,HELOÏSE,DOUMONT,BEL,29   27. | 25   31. [29.46],,
32,KATRIN,AMANN,SWE,27   31. | 21   33. [31.98],,
33,GABRIELA,VRABLIKOVA,CZE,22+  33. | 23+  32. [32.50],,
34,JENNIFER,WOOD,GBR,19+  34. | 18   34. [34.25],,
35,ELFE,CLAES,BEL,19+  34. | 16   37. [35.73],,
36,MARGOT,VERHAEREN,BEL,19   36. | 16+  35. [36.00],,
36,OLIVIA,WYETT,CAN,19   36. | 16+  35. [36.00],,
