Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,RUSTAM,GELMANOV,RUS,4t5 5b5,3t4 4b8,3t4 4b5,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
2,KILIAN,FISCHHUBER,AUT,5t8 5b8,3t5 3b3,3t6 4b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
3,THOMAS,TAUPORN,GER,4t8 5b5,3t16 4b18,3t9 4b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
4,DMITRII,SHARAFUTDINOV,RUS,5t7 5b5,2t2 4b4,2t2 4b4,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
5,GUILLAUME,GLAIRON MONDET,FRA,3t4 3b3,4t4 4b4,2t4 4b5,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
6,JAKOB,SCHUBERT,AUT,5t8 5b6,2t2 4b4,2t6 3b7,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
7,ALEKSEY,RUBTSOV,RUS,4t8 5b7,3t13 4b13,2t13 4b15,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
8,THOMAS,CALEYRON,FRA,3t6 4b7,2t2 3b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
9,LOÏC,GAIDIOZ,FRA,3t6 5b7,2t2 2b2,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
10,STEFAN,DANKER,GER,4t5 5b6,2t3 4b11,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
11,KLEMEN,BECAN,SLO,3t5 4b8,2t3 3b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
12,JERNEJ,KRUDER,SLO,3t5 4b6,2t4 4b13,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
13,LUKAS,ENNEMOSER,AUT,4t5 5b6,2t5 4b7,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
14,TSUKURU,HORI,JPN,3t3 4b5,2t5 3b10,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
15,SEAN,MCCOLL,CAN,4t7 5b7,2t6 4b10,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
16,REI,SUGIMOTO,JPN,3t5 4b4,2t6 3b4,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
17,DAVID,BARRANS,GBR,3t5 4b8,2t6 3b7,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
18,LUCAS,PRETI,ITA,3t3 4b6,2t8 4b14,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
19,JORG,VERHOEVEN,NED,4t7 4b6,1t1 3b6,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
20,SACHI,AMMA,JPN,4t7 5b11,1t1 2b3,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
