Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [8.22],36+,43+
2,SACHI,AMMA,JPN,top  1. | top  1. [8.22],36+,34
3,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [8.22],34+,33+
4,JORG,VERHOEVEN,NED,top  1. | top  1. [8.22],31+,33+
5,THOMAS,BALLET,FRA,29   23. | 31+  22. [23.45],33,27+
6,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [8.22],35,26+
7,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [8.22],37,22+
8,HYUNBIN,MIN,KOR,top  1. | top  1. [8.22],29+,16+
9,URBAN,PRIMOZIC,SLO,top  1. | top  1. [8.22],29,
10,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [8.22],27+,
10,MANUEL,ROMAIN,FRA,top  1. | top  1. [8.22],27+,
12,SEAN,MCCOLL,CAN,top  1. | top  1. [8.22],27,
13,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [8.22],26+,
14,KLEMEN,BECAN,SLO,top  1. | 34+  15. [12.00],26+,
15,STEFANO,GHISOLFI,ITA,top  1. | 32+  18. [13.25],26+,
16,FRANCESCO,VETTORATA,ITA,29   23. | 34+  15. [20.00],26+,
17,MARCELLO,BOMBARDI,ITA,32   18. | 31   23. [20.63],26+,
18,DOMEN,SKOFIC,SLO,24+  31. | top  1. [16.43],25,
19,MARIO,LECHNER,AUT,top  1. | top  1. [8.22],24+,
20,JURE,BECAN,SLO,top  1. | 29+  25. [15.00],23+,
21,LUKAS,KÖB,AUT,24+  31. | 32+  18. [26.50],23+,
22,JABEE,KIM,KOR,top  1. | 28+  26. [15.30],18+,
23,LOÏC,TIMMERMANS,BEL,24+  31. | 34+  15. [24.00],16+,
24,ERIK,GRANDELIUS,SWE,24+  31. | 32+  18. [26.50],13+,
25,JOHN HENRY,NILSSEN,NOR,29   23. | 26   29. [27.16],10+,
26,ELKO,SCHELLINGERHOUT,NED,29+  21. | 25+  31. [26.84],8+,
27,SEBASTIAN,HALENKE,GER,25+  29. | 27+  27. [28.22],,
28,BERNHARD,RÖCK,AUT,25+  29. | 26+  28. [28.74],,
29,MARKUS,JUNG,GER,29   23. | 25+  31. [28.94],,
29,SHINTA,OZAWA,JPN,29   23. | 25+  31. [28.94],,
31,MARTIN,TEKLES,GER,21   44. | 32+  18. [29.29],,
32,IZIDOR,ZUPAN,SLO,24+  31. | 30   24. [29.39],,
33,SERGEJ,EPIH,SLO,32   18. | 13+  46. [29.49],,
34,CHRISTOPH,HANKE,GER,31+  20. | 14+  43. [29.66],,
35,MARTIN,BERGANT,SLO,29+  21. | 18   41. [29.69],,
36,MASAKI,SHIBATA,JPN,24+  31. | 26   29. [32.59],,
37,JURE,RAZTRESEN,SLO,26+  28. | 18+  40. [33.47],,
38,FILIP,BABICZ,POL,24+  31. | 25+  31. [34.73],,
38,LUKE,TILLEY,GBR,24+  31. | 25+  31. [34.73],,
40,EDWARD,HAMER,GBR,24+  31. | 25   37. [36.50],,
41,FRANZ,KRAKENBERGER,SUI,24+  31. | 23+  38. [37.23],,
42,MASAHIRO,HIGUCHI,JPN,20+  45. | 25+  31. [38.83],,
43,AMIRHAMZEH,POURSHAFIE,IRI,24+  31. | 14+  43. [39.80],,
44,MAX,RUDIGIER,AUT,24   42. | 23+  38. [40.21],,
45,TOMAS,BINTER,CZE,22+  43. | 14+  43. [43.50],,
46,STEFAN,BEDNAR,SVK,19   46. | 15+  42. [43.95],,
47,JAKOB HEBER,NORUM,NOR,15+  47. | 13+  46. [47.00],,
48,TOM,BONNERT,GBR,15   48. | 13+  46. [47.50],,
