Rank,Name,,Country,Qualification,Final
1,LEONARDO,GONTERO,ITA,6.930,6.60
2,SERGEI,SINITCYN,RUS,6.900,6.74
3,LIBOR,HROZA,CZE,6.460,6.50
4,STANISLAV,KOKORIN,RUS,7.220,fall
5,JEDRZEJ,KOMOSINSKI,POL,7.070,6.84
6,SERGEY,ABDRAKHMANOV,RUS,6.730,7.90
7,DANYIL,BOLDYREV,UKR,7.010,9.49
8,BASSA,MAWEM,FRA,6.920,fall
9,LUKASZ,SWIRK,POL,7.180,7.12
10,ARSENII,SHEVCHENKO,RUS,8.050,7.54
11,YOANN,LE COUSTER,FRA,8.140,7.54
12,EVGENII,VAITSEKHOVSKII,RUS,7.030,7.70
13,ANDRES,QUINTEROS,ECU,8.690,8.45
14,OLEKSIY,YURKO,UKR,7.440,fall
15,MANUEL,ESCOBAR,VEN,8.100,fall
16,ISAAC,ESTEVEZ,ECU,8.440,fall
