Rank,Name,,Country,Qualification,Semi-Final,Final
99,MARIÁN,ŠELIGA,SVK,0t 1b4,,
101,SEUNGWOON,CHO,KOR,0t 2b2,,
101,CALLUM,HYLAND,AUS,0t 2b2,,
101,NIKOLA,KRAMARIC,CRO,0t 1b5,,
104,KIRE,SERAFIMOVSKI,MKD,0t 1b6,,
105,GIORGI,GABULDANI,GEO,0t 0b,,
105,ILHAM,ISRAFILOV,AZE,0t 0b,,
105,ALMATSGIR,KVITSIANI,GEO,0t 0b,,
105,SALIH,MULAOSMANOVIC,BIH,0t 0b,,
105,VANCO,NAUNOV,MKD,0t 0b,,
105,JURAJ,RAVAS,SVK,0t 2b4,,
105,GULBALA,SAFAROV,AZE,0t 0b,,
112,PASO,SIVRO,BIH,0t 2b12,,
113,CINGIZ,TAGIZADE,AZE,0t 1b5,,
114,BABEK,IBADOV,AZE,0t 0b,,
