Rank,Name,,Country,Qualification,Semi-Final,Final
1,DMITRII,SHARAFUTDINOV,RUS,4t4 4b4,3t3 4b10,4t10 4b9
2,SEAN,MCCOLL,CAN,4t6 4b5,4t5 4b4,4t10 4b10
3,JAKOB,SCHUBERT,AUT,3t3 4b4,4t7 4b5,3t10 4b17
4,RUSTAM,GELMANOV,RUS,5t9 5b9,3t4 4b13,3t11 3b11
5,REI,SUGIMOTO,JPN,3t4 4b7,3t4 4b5,2t5 2b3
6,STEWART,WATSON,GBR,4t4 5b8,3t3 4b4,2t8 3b9
7,GUILLAUME,GLAIRON MONDET,FRA,4t7 5b8,3t5 4b5,
7,STÉPHAN,JULIEN,FRA,4t7 5b8,3t5 4b5,
9,JERNEJ,KRUDER,SLO,5t5 5b5,3t5 4b7,
10,JONAS,BAUMANN,GER,3t3 4b5,3t6 4b5,
11,ADAM,WATSON,GBR,3t4 4b4,3t6 3b3,
12,ANDRZEJ,MECHERZYNSKI-WIKTOR,POL,4t10 4b10,3t7 3b3,
13,MATHIAS,CONRAD,GER,3t3 4b10,2t2 4b5,
14,THOMAS,CALEYRON,FRA,4t9 4b8,2t2 4b7,
15,LUKAS,ENNEMOSER,AUT,5t6 5b6,2t4 4b5,
16,BENJAMIN,BLASER,SUI,3t4 5b10,2t5 4b7,
17,MAURICIO,HUERTA,MEX,3t4 4b23,2t7 3b7,
18,STEFAN,DANKER,GER,5t10 5b7,1t1 4b4,
19,HAFZANIZAM,BOKHARI,MAS,3t4 4b5,1t1 4b7,
20,EDWARD,FEEHALLY,GBR,5t10 5b8,1t3 4b6,
21,KILIAN,FISCHHUBER,AUT,3t4 3b4,,
21,JORG,VERHOEVEN,NED,4t13 4b8,,
23,KEVIN,HEMUND,SUI,3t5 4b7,,
23,CÉDRIC,LACHAT,SUI,4t24 5b19,,
25,JEREMY,BONDER,FRA,3t5 4b11,,
25,TATSUMI,NITTA,JPN,3t5 5b8,,
27,DAVID,BARRANS,GBR,3t6 5b13,,
27,TSUKURU,HORI,JPN,3t6 5b8,,
29,JAN,HOJER,GER,3t7 5b7,,
29,ALEXANDER,MEGOS,GER,3t7 4b7,,
31,KLEMEN,BECAN,SLO,3t8 4b10,,
31,ANTON,JOHANSONN,FIN,3t7 5b9,,
33,ANTHONY,GULLSTEN,FIN,2t2 5b13,,
33,ARMAN,TER-MINASYAN,RUS,2t3 4b10,,
35,NICKY,DE LEEUW,NED,2t5 4b6,,
35,CHRISTOPHER,WEBB-PARSONS,AUS,2t2 3b3,,
37,YURY,NOVITSKIY,RUS,2t10 4b8,,
37,PETER,WÜRTH,GER,2t2 2b2,,
39,IGNACIO,SANCHEZ GONZÁLEZ,ESP,2t3 4b7,,
39,JONAS,WINTER,GER,2t10 4b13,,
41,JURE,BECAN,SLO,1t1 4b7,,
41,PIOTR,BUNSCH,POL,2t3 4b9,,
43,SEBASTIEN,LAZURE,CAN,2t3 4b14,,
43,ONDREJ,SVUB,SVK,1t1 3b3,,
45,DANIEL,ANDERSSON,SWE,1t1 3b6,,
45,RICARDO,MORELLI,GER,2t3 3b4,,
47,OLIVIER,HEQUIN,FRA,1t1 3b7,,
47,ATSUSHI,SHIMIZU,JPN,2t4 4b14,,
49,ANDRE,BOROWKA,GER,1t1 2b2,,
49,MARKUS,JUNG,GER,2t4 4b15,,
49,JABEE,KIM,KOR,1t1 2b2,,
52,LARS,BELL,GER,2t4 3b4,,
53,HANS,BUSKER,NED,1t1 2b3,,
53,ARTYOM,DEVYATERIKOV,KAZ,2t6 3b7,,
53,REMO,SOMMER,SUI,1t1 2b3,,
56,DANIEL,UNGUREANU,ROU,1t1 3b5,,
57,JURAJ,RAVAS,SVK,1t1 2b4,,
57,IGNASI,TARRAZONA GASQUE,ESP,1t2 4b9,,
59,DANIEL,GINGRAS,CAN,1t1 1b1,,
59,MATEJ,SVUB,SVK,1t4 3b8,,
61,ROBERT,RUNDIN,SWE,1t2 3b5,,
61,DAVID LEANDRO,SAIKIN,ARG,1t9 3b14,,
63,VICTOR,DRAGOI,ROU,1t2 3b7,,
63,MARTIN,MAYER,GER,0t 2b3,,
65,SANTIAGO,DE ALBA FLORES,MEX,1t2 3b13,,
65,DIMITRIOS,SPARIS,GRE,0t 0b,,
