Rank,Name,,Country,Qualification,Final
1,DANYIL,BOLDYREV,UKR,6.670,6.11
2,ARSENII,SHEVCHENKO,RUS,6.750,6.59
3,YAROSLAV,GONTARYK,UKR,6.400,6.20
4,STANISLAV,KOKORIN,RUS,6.850,9.56
5,SERGEY,ABDRAKHMANOV,RUS,6.540,6.322
6,QIXIN,ZHONG,CHN,6.180,6.50
7,LEONARDO,GONTERO,ITA,6.580,6.59
8,EVGENII,VAITSEKHOVSKII,RUS,6.050,7.31
9,JEDRZEJ,KOMOSINSKI,POL,6.770,6.55
10,VIACHESLAV,VEDENCHUK,RUS,6.680,6.61
11,LIBOR,HROZA,CZE,6.540,7.07
12,SERGEI,SINITCYN,RUS,6.800,7.21
13,SUNGJOON,CHAE,KOR,8.060,8.47
14,SEUNGWOON,CHO,KOR,8.960,9.41
15,SEAN,MCCOLL,CAN,9.870,10.05
16,ARTEM,SAVELYEV,RUS,7.330,fall
17,PYEONGJU,HWANG,KOR,10.890,
18,HANWOOL,KIM,KOR,11.530,
19,JAKOB,SCHUBERT,AUT,12.830,
