Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.100,7.33
2,LIBOR,HROZA,CZE,6.000,8.98
3,DMITRII,TIMOFEEV,RUS,6.700,7.68
4,SERGEI,SINITCYN,RUS,6.700,fall
5,YAROSLAV,GONTARYK,UKR,6.700,6.77
6,EVGENII,VAITSEKHOVSKII,RUS,6.500,7.37
7,DANYIL,BOLDYREV,UKR,6.500,fall
8,ARSENII,SHEVCHENKO,RUS,6.600,fall
9,LUKASZ,SWIRK,POL,6.800,7.18
10,LEONARDO,GONTERO,ITA,6.500,7.21
11,"WENG KHIT, ADRIEL",CHOO,SGP,6.700,7.31
12,STANISLAV,KOKORIN,RUS,6.800,7.89
13,MARCIN,DZIENSKI,POL,6.500,7.96
14,OLEKSIY,YURKO,UKR,6.700,8.20
15,SERGEY,ABDRAKHMANOV,RUS,6.400,fall
16,MANUEL,ESCOBAR,VEN,6.700,fall
17,BASSA,MAWEM,FRA,6.900,
17,LINCAI,ZHONG,CHN,6.900,
19,ASPAR,ASPAR,INA,7.000,
19,SERGIY,BARKOVSKYY,UKR,7.000,
19,SAYAT,BOKANOV,KAZ,7.000,
22,ISAAC,ESTEVEZ,ECU,7.100,
22,VOLODYMYR,ZINCHENKO,UKR,7.100,
24,ANDRII,KYTAIKO,UKR,7.400,
24,GUILLAUME,MORO,FRA,7.400,
26,ARTYOM,DEVYATERIKOV,KAZ,7.700,
27,GIAN-LUCA,GRICHTING,SUI,7.900,
27,JOSMAR,NIEVES,VEN,7.900,
29,YOANN,LE COUSTER,FRA,8.000,
30,ANDRES,QUINTEROS,ECU,8.200,
31,CSABA,KOMONDI,HUN,8.500,
31,ANDRES,PAZMINO,ECU,8.500,
33,STEFANO,GHISOLFI,ITA,8.600,
34,SEUNGWOON,CHO,KOR,9.200,
34,ROBERT,STEWART-PATTERSON,CAN,9.200,
36,DOMINIC,LABARGE,USA,9.300,
37,JULIAN,BOYD,USA,9.500,
38,CHARLES,ANDREWS-JUBELT,USA,9.700,
38,THOMAS,TAUPORN,GER,9.700,
40,GIGA,JANKHOTELI,GEO,10.700,
40,SHANE,PUCCIO,USA,10.700,
42,ROLANDS,RUGENS,LAT,10.900,
43,SEAN,MCCOLL,CAN,11.200,
44,HANWOOL,KIM,KOR,11.800,
45,CÉDRIC,LACHAT,SUI,12.600,
46,MARCO ANTONIO,JUBES ANGARITA,ESP,14.000,
47,DENIS,IOANNOU,CYP,15.000,
48,KLEMEN,BECAN,SLO,16.300,
48,CINGIZ,TAGIZADE,AZE,16.300,
50,ILHAM,ISRAFILOV,AZE,27.500,
51,JAIME HENDRIK,QUINTANA,PER,30.700,
52,BABEK,IBADOV,AZE,fall,
52,JEDRZEJ,KOMOSINSKI,POL,fall,
52,AMIR,MAIMURATOV,KAZ,fall,
52,ALEXEY,MOLCHANOV,KAZ,fall,
