Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.150,6.44
2,VLADISLAV,DEULIN,RUS,6.600,8.33
3,MARCIN,DZIENSKI,POL,6.100,6.82
4,BASSA,MAWEM,FRA,6.240,fall
5,STANISLAV,KOKORIN,RUS,6.380,6.28
6,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.860,6.87
7,GUILLAUME,MORO,FRA,6.430,7.24
8,DANYIL,BOLDYREV,UKR,6.400,8.57
9,JAN,KRIZ,CZE,6.800,6.73
10,LEONARDO,GONTERO,ITA,6.870,6.92
11,QUENTIN,NAMBOT,FRA,6.880,6.98
12,RAFAL,HALASA,POL,7.110,7.26
13,XU,HAORAN,CHN,7.020,7.36
14,LUDOVICO,FOSSALI,ITA,6.820,8.99
15,HAMIDREZA,TOOZANDEHJANI,IRI,6.740,10.01
16,ZHIYONG,OU,CHN,6.760,fall
17,PENGHUI,LIN,CHN,7.200,
18,ZHIXUAN,CHEN,CHN,7.340,
19,MICHAL,LEWICKI,POL,7.410,
20,ZHAXI,BIANBA,CHN,7.550,
21,ALEKSANDR,SHIKOV,RUS,7.580,
22,ZIDA,MA,CHN,8.060,
23,DANZENG,CHILIE,CHN,8.140,
24,ELAN,JONASMCRAE,CAN,11.840,
25,SEAN,MCCOLL,CAN,12.090,
26,ALESSANDRO,SANTONI,ITA,fall,
