Rank,Name,,Country
1,EVGENII,VAITSEKHOVSKII,RUS
2,CSABA,KOMONDI,HUN
3,SERGEI,SINITCYN,RUS
4,TOMASZ,OLEKSY,POL
5,MAKSYM,STYENKOVYY,UKR
6,ALEXANDER,KOSTERIN,RUS
7,MANUEL,ESCOBAR,VEN
8,LIBOR,HROZA,CZE
9,IVAN,SHYSHKOVSKYY,UKR
10,LEONEL,DE LAS SALAS,VEN
11,ANDRZEJ,MECHERZYNSKI-WIKTOR,POL
12,MAKSYM,OSIPOV,UKR
13,ANATOLY,SKRIPOV,RUS
14,NESTOR,CARVAJAL,VEN
15,JAKUB,POCIECHA,POL
16,PAVLO,ONOPRIENKO,UKR
17,OLEXIY,SHULGA,UKR
18,SYLVAIN,CHAPELLE,FRA
19,NICOLAS,JANUEL,FRA
20,SERHIY,POBEREZHETS,UKR
21,OLEKSANDR,SALIMOV,UKR
22,CHI-WAI,LAI,HKG
23,MACIEJ,DOBRZANSKI,POL
24,JIRI,SVACHA,CZE
25,YEVGEN,PALLADIY,UKR
26,LUKASZ,SMAGALA,POL
27,ALEKSEI,PORTSEV,RUS
28,LUKASZ,SWIRK,POL
29,BARTOSZ,KOWAL,POL
30,MACIEJ,KALITA,POL
31,GYULA,JUHASZ,HUN
32,JEDRZEJ,KOMOSINSKI,POL
32,ALEXANDER,PESHEKHONOV,RUS
