Rank,Name,,Country,Qualification,Final
1,ANATOLY,SKRIPOV,RUS,19.920,15.400
2,SERGEI,SINITCYN,RUS,18.020,15.420
3,MANUEL,ESCOBAR,VEN,21.290,16.890
4,MAKSYM,OSIPOV,UKR,23.370,19.730
5,CSABA,KOMONDI,HUN,21.520,18.200
6,NICOLAS,JANUEL,FRA,24.010,18.480
7,LEONEL,DE LAS SALAS,VEN,21.920,18.930
8,EVGENII,VAITSEKHOVSKII,RUS,19.780,19.500
9,ALEXANDER,KOSTERIN,RUS,23.580,18.660
10,MARK,AMANN,AUT,22.750,20.510
11,NESTOR,CARVAJAL,VEN,21.830,20.810
12,LUKASZ,SWIRK,POL,23.460,21.650
13,ALEXANDER,PESHEKHONOV,RUS,20.340,22.060
14,ALEKSEI,PORTSEV,RUS,28.810,23.840
15,LIBOR,HROZA,CZE,24.180,23.850
16,JIRI,SVACHA,CZE,27.480,24.580
17,JOHANNES,LAU,GER,,
18,MATHIAS,CONRAD,GER,,
19,MICHEL,SIROTTI,ITA,,
20,MANUEL,CORETTI,ITA,,
21,LUCA,GIUPPONI,ITA,,
22,GYULA,JUHASZ,HUN,,
