Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,DAVID,LAMA,AUT,top,top,57-,Imst_(AUT)_2007,11 May - 12 May 2007,Men
2,TOMÁS,MRÁZEK,CZE,top,52,50-,Imst_(AUT)_2007,11 May - 12 May 2007,Men
3,PATXI,USOBIAGA LAKUNZA,ESP,51-,50-,49+,Imst_(AUT)_2007,11 May - 12 May 2007,Men
4,CÉDRIC,LACHAT,SUI,42-,48,48-,Imst_(AUT)_2007,11 May - 12 May 2007,Men
5,JORG,VERHOEVEN,NED,top,top,40+,Imst_(AUT)_2007,11 May - 12 May 2007,Men
6,SACHI,AMMA,JPN,49,46,30.5,Imst_(AUT)_2007,11 May - 12 May 2007,Men
7,EDUARD,MARIN GARCIA,ESP,49+,49-,26,Imst_(AUT)_2007,11 May - 12 May 2007,Men
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,50,19+,Imst_(AUT)_2007,11 May - 12 May 2007,Men
9,YUJI,HIRAYAMA,JPN,48-,45-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
10,FABIEN,DUGIT,FRA,43-,44+,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
11,MICHAËL,FUSELIER,FRA,46-,42-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
12,MARTIN,STRANIK,CZE,41+,41+,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
13,SYLVAIN,MILLET,FRA,41,41+,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
14,KILIAN,FISCHHUBER,AUT,42-,41,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
15,LUCA,ZARDINI,ITA,41-,41,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
16,CHRISTIAN,BINDHAMMER,GER,42-,39-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
17,ROMAIN,DESGRANGES,FRA,41,39-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
18,ERIC,LOPEZ MATEOS,ESP,43,38.5-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
19,CASPER,TEN SIJTHOFF,NED,38+,36,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
20,MAGNUS,MIDTBOE,NOR,41-,34-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
21,FLAVIO,CRESPI,ITA,49+,33-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
22,KLEMEN,BECAN,SLO,41+,33-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
22,FLAVIEN,GUERIMAND,FRA,41+,33-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
24,DANIEL,WINKLER,SUI,40-,33-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
25,MIKHAIL,CHERNIKOV,RUS,38+,33-,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
26,MANUEL,ROMAIN,FRA,41,22.5,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
27,ROMAN,VAN DER WERF,NED,38,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
28,MIKHAIL,GOGOL,RUS,36+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
29,MARCO ANTONIO,JUBES ANGARITA,ESP,31-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
29,IVAN,KAUROV,RUS,31-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
31,MARTIN,JAGGI,SUI,29,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
31,VALERIY,KRYUKOV,UKR,29,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
33,NICOLA,DE MATTIA,ITA,29-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
33,ALESSANDRO,FIORI,ITA,29-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
33,THOMAS,NEYER,AUT,29-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
33,MATEJ,SOVA,SLO,29-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
37,BENOIT,HEINTZ,FRA,28,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
38,STEFAN,DANKER,GER,28-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
39,ANDREAS,BINDHAMMER,GER,27+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
39,THOMAS,SCHMID,SUI,27+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
41,ANDRÉ,BEREZOSKI,BRA,27,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
42,JAKUB,HLAVACEK,CZE,25-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
43,MATEVZ,PINTAR,SLO,24+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
44,MANUEL,CORETTI,ITA,24-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
44,MATTHIAS,RUH,SUI,24-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
44,ONDREJ,SVUB,SVK,24-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
47,MARK,AMANN,AUT,23+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
47,DALIBOR,MURAN,CZE,23+,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
49,JÜRGEN,REIS,AUT,22.5,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
50,ADRIAN,BAXTER,GBR,22,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
50,MARCIN,WSZOLEK,POL,22,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
52,RAFAL,POREBSKI,POL,22-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
53,MATUS,KOSTKA,SVK,21-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
53,TIMO,TAK,NED,21-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
55,MATEJ,SVUB,SVK,20,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
56,ALEKSEY,PEROV,KAZ,18-,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
57,JULIEN,LAINE,FRA,15,,,Imst_(AUT)_2007,11 May - 12 May 2007,Men
1,ANGELA,EITER,AUT,top,top,56+,Imst_(AUT)_2007,11 May - 12 May 2007,Women
2,MURIEL,SARKANY,BEL,top,46-,43-,Imst_(AUT)_2007,11 May - 12 May 2007,Women
3,KATHARINA,SAURWEIN,AUT,top,48-,42-,Imst_(AUT)_2007,11 May - 12 May 2007,Women
