Rank,Name,,Country,Qualification,Final
1,MANUEL,ESCOBAR,VEN,24.050,16.700
2,ALEXANDER,KOSTERIN,RUS,22.350,17.600
3,SERGEI,SINITCYN,RUS,22.500,17.060
4,EVGENII,VAITSEKHOVSKII,RUS,22.200,18.090
5,LEONEL,DE LAS SALAS,VEN,25.890,20.190
6,ALEXANDER,PESHEKHONOV,RUS,23.430,20.580
7,DMITRII,SHARAFUTDINOV,RUS,20.600,fall
8,MAKSYM,STYENKOVYY,UKR,23.080,fall
9,VALERIY,VOROBYEV,RUS,22.830,19.640
10,LIBOR,HROZA,CZE,26.450,22.520
11,NESTOR,CARVAJAL,VEN,24.500,25.640
12,MARK,AMANN,AUT,27.950,25.810
13,ALEKSEI,PORTSEV,RUS,28.440,28.990
14,ANATOLY,SKRIPOV,RUS,24.050,fall
15,CSABA,KOMONDI,HUN,25.180,fall
16,CHI-WAI,LAI,HKG,27.510,fall
17,JAKUB,HEJL,CZE,,
18,JIRI,SVACHA,CZE,,
18,LUKASZ,SWIRK,POL,,
