Rank,Name,,Country
1,JANJA,GARNBRET,SLO
2,SOL,SA,KOR
3,JESSICA,PILZ,AUT
4,AKIYO,NOGUCHI,JPN
5,MIHO,NONAKA,JPN
6,PETRA,KLINGLER,SUI
