Rank,Name,,Country,Qualification,Semi-Final,Final
109,BHARATH,PEREIRA,IND,55. [55.39],,
109,HUALONG,SONG,CHN,55. [51.53],,
112,GAURAV,KUMAR,IND,56. [54.98],,
113,DONGHYUN,JANG,KOR,57. [56.00],,
113,YONGSU,LEE,KOR,57. [56.75],,
115,ISAAC,ESTEVEZ,ECU,58. [56.23],,
115,BORJA,FARAH,CHI,58. [57.68],,
117,PEDRO,BELLO,CHI,59. [58.22],,
117,YARDEN,PILPEL,ISR,59. [57.75],,
119,LUDOVICO,FOSSALI,ITA,60. [58.69],,
119,MATTHAIOS,VALSAMIDIS,GRE,60. [58.50],,
121,STEFAN,BEDNAR,SVK,61. [59.19],,
121,ORFEAS,TSIAOUSIS,GRE,61. [59.75],,
123,MARCIN,DZIENSKI,POL,62. [61.00],,
123,GIGA,JANKHOTELI,GEO,62. [60.75],,
