Rank,Name,,Country
1,JAKOB,SCHUBERT,AUT
2,ADAM,ONDRA,CZE
3,JAN,HOJER,GER
4,KAI,HARADA,JPN
5,TOMOA,NARASAKI,JPN
6,KOKORO,FUJII,JPN
