Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
49,DON,VAN LAERE,NED,2t3z 6 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
51,MARCELLO,BOMBARDI,ITA,2t3z 6 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
51,SERGIO,VERDASCO URIZAL,ESP,2t3z 6 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
51,GREGOR,VEZONIK,SLO,3t5z 6 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
54,ALFONS,DORNAUER,AUT,3t5z 6 11,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
55,SIMON,LORENZI,BEL,2t3z 7 13,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
55,DIMITRI,VOGT,SUI,3t5z 7 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
57,ALEX,KHAZANOV,ISR,2t3z 8 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
57,SERGEI,SKORODUMOV,RUS,3t5z 7 22,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,DAVID,FIRNENBURG,GER,3t5z 8 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,STEPHANE,HANSSENS,BEL,2t2z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,JASON,HOLOWACH,CAN,2t2z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,SEBASTIEN,LAZURE,CAN,2t2z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,NICOLAS,PELORSON,FRA,2t2z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
59,AIDAN,ROBERTS,GBR,2t2z 3 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
65,STEFAN,SCARPERI,ITA,3t5z 8 15,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
66,JONATAN,FLOR VAZQUEZ,ESP,3t5z 10 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
67,NICOLAS,COLLIN,BEL,3t5z 10 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
68,ANDREA,ZANONE,ITA,3t4z 7 11,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
69,FLORIAN,KLINGLER,AUT,3t4z 8 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
69,MAX,PRINZ,GER,2t2z 4 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
69,NATHAN,SMITH,CAN,2t2z 4 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
72,PHILIPP,MARTIN,GER,3t4z 9 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
73,FILIP,SCHENK,ITA,2t2z 5 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
73,MARTIN,STRANIK,CZE,3t4z 13 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
75,LUKAS,FRANCKAERT,BEL,2t2z 6 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
75,ELIAS,WEILER,AUT,2t5z 7 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
77,FRANZ,KRAKENBERGER,SUI,2t4z 4 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
77,MARCO,MÜLLER,SUI,1t3z 1 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
79,MAXWELL,AYRTON,GBR,2t4z 5 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
79,SERGEI,LUZHETSKII,RUS,1t3z 1 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
81,DAVID,BARRANS,GBR,2t4z 5 13,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
81,ZAN,LOVENJAK SUDAR,SLO,1t3z 3 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
83,RAM,LEVIN,ISR,2t4z 6 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
83,ERIC,LOPEZ MATEOS,ESP,1t3z 3 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
85,BEN,ABEL,AUS,1t3z 4 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
85,VOJTECH,TROJAN,CZE,2t3z 11 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
87,JEROME,GONZÁLEZ GUTIÉRREZ,ESP,1t3z 6 17,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
87,CHRISTOPH,HANKE,GER,1t5z 1 16,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
89,BENJAMIN,BLASER,SUI,1t4z 4 11,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
89,POUYA,SHAFENEJAD,IRI,1t2z 1 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
91,JAKUB,KONECNY,CZE,1t3z 5 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
91,FREDRIK,SERLACHIUS,SWE,1t2z 2 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
93,JAVIER,CANO BLAZQUEZ,ESP,0t4z 0 25,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
93,NIKOLA,PETROV,BUL,1t2z 5 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
95,HOSSEIN,FAMILROHANI,IRI,0t3z 0 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
95,TYLER,LANDMAN,GBR,0t3z 0 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
95,STEPAN,STRANIK,CZE,1t1z 2 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
98,MATTHIAS,ERBER,AUT,1t1z 2 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
