Rank,Name,,Country,Qualification,Semi-Final,Final
99,STEFAN,BEDNAR,SVK,0t1z 0 1,,
99,CALRIN,CURTIS,RSA,0t1z 0 1,,
99,ALFONS,DORNAUER,AUT,0t1z 0 1,,
99,THEIS LINDEGREN,ELFENBEIN,DEN,0t1z 0 1,,
99,LUDOVICO,FOSSALI,ITA,0t1z 0 1,,
99,CESAR,GROSSO,BRA,0t1z 0 1,,
99,FELIPE,HO FOGANHOLO,BRA,0t1z 0 1,,
99,GIGA,JANKHOTELI,GEO,0t1z 0 1,,
99,YONGSU,LEE,KOR,0t1z 0 1,,
99,NIKOLA,PETROV,BUL,0t1z 0 1,,
99,MICHAEL,PICCOLRUAZ,ITA,0t1z 0 1,,
99,YARDEN,PILPEL,ISR,0t1z 0 1,,
99,GEORGE,SANDERS,NZL,0t1z 0 1,,
99,FREDRIK,SERLACHIUS,SWE,0t1z 0 1,,
99,KA-CHUN,YAU,HKG,0t1z 0 1,,
114,ALEXANDER,AVERDUNK,GER,0t2z 0 11,,
115,MIKEL ASIER,LINACISORO MOLINA,ESP,0t2z 0 12,,
116,BENJAMIN,AYALA,CHI,0t1z 0 1,,
116,JOHN,BROSLER,USA,0t1z 0 1,,
116,ARTYOM,DEVYATERIKOV,KAZ,0t1z 0 1,,
116,HOSSEIN,FAMILROHANI,IRI,0t1z 0 1,,
116,SANTIAGO,GARCIA,ARG,0t1z 0 1,,
116,CARLOS FELIPE,GRANJA LOPEZ,ECU,0t1z 0 1,,
116,BENJAMIN,HANNA,USA,0t1z 0 1,,
116,GALO,HERNANDEZ,ECU,0t1z 0 1,,
116,DONGHYUN,JANG,KOR,0t1z 0 1,,
116,RISHAT,KHAIBULLIN,KAZ,0t1z 0 1,,
116,GAURAV,KUMAR,IND,0t1z 0 1,,
116,BASSA,MAWEM,FRA,0t1z 0 1,,
116,SEMEN,OVCHINNIKOV,RUS,0t1z 0 1,,
116,BHARATH,PEREIRA,IND,0t1z 0 1,,
116,SUNGBO,SEO,KOR,0t1z 0 1,,
116,BENJAMIN,VARGAS,CHI,0t1z 0 1,,
