Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
11,NANAKO,KURA,JPN,108.3,77.8,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
12,MANON,HILY,FRA,79.8,76.8,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
13,CHLOE,CAULIER,BEL,97.0,73.3,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
14,ORIANE,BERTONE,FRA,159.4,67.9,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
15,CLOE,COSCOY,USA,126.3,59.3,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
16,ANDREA,KÜMIN,SUI,84.2,57.5,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
17,RISA,OTA,JPN,84.9,55.6,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
18,LUCIA,DÖRFFEL,GER,127.4,52.7,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
19,MIA,AOYAGI,JPN,118.7,52.6,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
20,KYLIE,CULLEN,USA,74.6,41.0,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
21,YUETONG,ZHANG,CHN,61.9,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
22,VITA,LUKAN,SLO,57.5,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
23,NOA,SHIRAN,ISR,54.5,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
24,ALANNAH,YIP,CAN,49.3,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
25,HSIU-JU,LIN,TPE,35.8,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
26,HUNG YING,LEE,TPE,33.5,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
27,MARIANA,HANGGI CORREIA,BRA,14.3,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
28,SELENGE,NYAMDOO,MGL,0.0,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Women
