Rank,Name,,Country,Qualification,Final
1,LIBOR,HROZA,CZE,15.620,14.94
2,MAKSYM,OSIPOV,UKR,17.050,18.51
3,LUKASZ,SWIRK,POL,14.790,15.39
4,TOMASZ,OLEKSY,POL,16.700,23.01
5,STANISLAV,KOKORIN,RUS,15.900,16.52
6,SERGEI,SINITCYN,RUS,15.600,18.90
7,SERGEY,ABDRAKHMANOV,RUS,17.250,24.51
8,JEDRZEJ,KOMOSINSKI,POL,14.950,fall
9,MICHEL,SIROTTI,ITA,20.930,
10,ALEXANDER,PESHEKHONOV,RUS,22.790,
11,SALAH,BOULBAHAIEM,BEL,24.550,
12,LUCAS,PRETI,ITA,28.810,
13,STEFANO,GHISOLFI,ITA,35.480,
14,LEONARDO,GONTERO,ITA,36.210,
15,GYULA,JUHASZ,HUN,43.020,
