Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [8.99],top,top
2,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | top  1. [8.99],33,top
3,SEAN,MCCOLL,CAN,top  1. | top  1. [8.99],33,48
4,SACHI,AMMA,JPN,top  1. | top  1. [8.99],31-,48-
5,MANUEL,ROMAIN,FRA,top  1. | top  1. [8.99],37+,42+
6,KLEMEN,BECAN,SLO,top  1. | top  1. [8.99],29,40+
7,JAKOB,SCHUBERT,AUT,top  1. | top  1. [8.99],40-,35
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [8.99],27,15-
9,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [8.99],27-,
10,SANGWON,SON,KOR,top  1. | top  1. [8.99],26,
11,JORG,VERHOEVEN,NED,33-  17. | top  1. [13.61],26-,
12,DAVID,LAMA,AUT,top  1. | top  1. [8.99],22-,
13,MARIO,LECHNER,AUT,top  1. | 24   36. [17.61],19+,
14,GAUTIER,SUPPER,FRA,33-  17. | top  1. [13.61],18.5,
15,JAN,HOJER,GER,25   37. | 38+  19. [26.51],17-,
16,THOMAS,TAUPORN,GER,top  1. | 34-  21. [13.52],16+,
17,FLAVIO,CRESPI,ITA,33-  17. | top  1. [13.61],16+,
18,MIKHAIL,CHERNIKOV,RUS,33-  17. | top  1. [13.61],16,
19,MAX,RUDIGIER,AUT,top  1. | 32   24. [14.28],16,
20,ERIC,LOPEZ MATEOS,ESP,32+  23. | 34-  21. [22.24],16-,
21,ALEXANDER,SHOPRIN,RUS,33-  17. | top  1. [13.61],14,
22,ANTON,MARDASHOV,UKR,32   24. | 32-  25. [25.48],14,
23,TOMÁS,MRÁZEK,CZE,top  1. | top  1. [8.99],13-,
24,STEFAN,DANKER,GER,29   34. | 36+  20. [26.08],13-,
25,MARCO ANTONIO,JUBES ANGARITA,ESP,top  1. | 24.5-  34. [17.12],12,
26,IVAN,KAUROV,RUS,32   24. | top  1. [15.26],11+,
27,YURIY,DZYUBYAK,UKR,33-  17. | 24-  38. [28.10],,
28,GUILLAUME,GLAIRON MONDET,FRA,30+  31. | 32-  25. [28.66],,
29,GEIR,SÖDERIN,SWE,23-  38. | 32+  23. [29.56],,
30,JURE,BECAN,SLO,32-  26. | 27-  33. [29.85],,
31,SANDRO,DEUTSCHMANN,AUT,31+  29. | 28-  32. [30.46],,
32,MARTIN,JAGGI,SUI,31-  30. | 29-  31. [30.50],,
33,MAURICIO,HUERTA,MEX,32-  26. | 24.5-  34. [30.52],,
34,MAGNUS,HÖGSTRÖM,SWE,29-  35. | 32-  25. [30.67],,
35,MARCELLO,BOMBARDI,ITA,29+  33. | 29   29. [31.20],,
36,FELIPE,CAMARGO,BRA,32-  26. | 24   36. [31.39],,
37,SERGEI,SHAFEROV,BLR,21-  40. | 29   29. [34.35],,
38,CESAR,GROSSO,BRA,14   47. | 32-  25. [35.29],,
39,STEFANO,GHISOLFI,ITA,30-  32. | 24-  38. [36.00],,
40,MANUEL,CORETTI,ITA,29-  35. | 24-  38. [37.92],,
41,ERIK,CARLSSON,SWE,20   41. | 24-  38. [41.24],,
41,RUDI,MORODER,ITA,20   41. | 24-  38. [41.24],,
43,LUKAS,KÖB,AUT,22-  39. | 22+  44. [41.42],,
44,OR,WECHSLER,ISR,19.5   44. | 24-  38. [42.21],,
45,PAVLO,VEKLA,UKR,16+  45. | 19-  45. [45.00],,
46,JÜRGEN,REIS,AUT,14+  46. | 18-  46. [46.00],,
47,NICKY,DE LEEUW,NED,20   41. | 14-  49. [46.05],,
48,JESSE,OFFNER,NZL,12-  49. | 16+  47. [48.23],,
49,ALEXEY,BOBYLEV,RUS,13+  48. | 14-  49. [49.23],,
50,DAMON,MCNEIL,NZL,11   51. | 14   48. [49.48],,
51,MARK,PUGH-WILLIAMS,NZL,12-  49. | 14-  49. [50.00],,
52,MICHAL,ROZEK,CZE,7+  52. | 14-  49. [51.24],,
