title,date,category,url
IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,11 April - 12 April 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=560&result=3
IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,11 April - 12 April 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=560&result=7
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,18 April - 19 April 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=561&result=2
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,18 April - 19 April 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=561&result=6
IFSC Climbing Worldcup (S) - Trento (ITA) 2009,25 April - 26 April 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=562&result=2
IFSC Climbing Worldcup (S) - Trento (ITA) 2009,25 April - 26 April 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=562&result=6
IFSC Climbing Worldcup (B) - Hall (AUT) 2009,1 May - 2 May 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=563&result=3
IFSC Climbing Worldcup (B) - Hall (AUT) 2009,1 May - 2 May 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=563&result=7
IFSC Climbing Worldcup (B) - Wien (AUT) 2009,29 May - 30 May 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=564&result=3
IFSC Climbing Worldcup (B) - Wien (AUT) 2009,29 May - 30 May 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=564&result=7
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5 June - 6 June 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=565&result=3
IFSC Climbing Worldcup (B) - Vail (USA) 2009,5 June - 6 June 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=565&result=7
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2009,12 June - 13 June 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=566&result=3
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2009,12 June - 13 June 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=566&result=7
IFSC Climbing World Championships - Qinghai (CHN) 2009 - 15m Speed,30 June - 5 July 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=567&result=2
IFSC Climbing World Championships - Qinghai (CHN) 2009 - 15m Speed,30 June - 5 July 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=567&result=6
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=568&result=1
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=568&result=5
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=568&result=3
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=568&result=7
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=568&result=2
IFSC Climbing World Championships - Qinghai (CHN) 2009,30 June - 5 July 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=568&result=6
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",12 July - 13 July 2009,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=569&result=1
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",12 July - 13 July 2009,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=569&result=5
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",12 July - 13 July 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=569&result=2
"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",12 July - 13 July 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=569&result=6
IFSC Climbing Worldcup (S) - Daone (ITA) 2009,1 August - 2 August 2009,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=570&result=2
IFSC Climbing Worldcup (S) - Daone (ITA) 2009,1 August - 2 August 2009,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=570&result=6
IFSC Climbing Worldcup (L) - Barcelona (ESP) 2009,8 August - 9 August 2009,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=571&result=1
