title,date,category,url
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",14 April - 17 April 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=665&result=3
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",14 April - 17 April 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=665&result=7
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",14 April - 17 April 2011,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=665&result=2
"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",14 April - 17 April 2011,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=665&result=6
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,7 May - 8 May 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=667&result=3
IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,7 May - 8 May 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=667&result=7
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011,13 May - 14 May 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=668&result=3
IFSC Climbing Worldcup (B) - Vienna (AUT) 2011,13 May - 14 May 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=668&result=7
IFSC Climbing Worldcup (B) - Canmore (CAN) 2011,27 May - 28 May 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=669&result=3
IFSC Climbing Worldcup (B) - Canmore (CAN) 2011,27 May - 28 May 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=669&result=7
IFSC Climbing Worldcup (B) - Vail (USA) 2011,3 June - 4 June 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=670&result=3
IFSC Climbing Worldcup (B) - Vail (USA) 2011,3 June - 4 June 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=670&result=7
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,17 June - 18 June 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=671&result=3
IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,17 June - 18 June 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=671&result=7
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,25 June - 26 June 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=672&result=3
IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,25 June - 26 June 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=672&result=7
IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,2 July - 3 July 2011,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=673&result=3
IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,2 July - 3 July 2011,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=673&result=7
