title,date,category,url
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,17 May - 17 May 2015,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=897&result=2
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,17 May - 17 May 2015,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=897&result=6
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,30 May - 31 May 2015,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=898&result=3
IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,30 May - 31 May 2015,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=898&result=7
IFSC Climbing Worldcup (B) - Vail (USA) 2015,5 June - 6 June 2015,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=899&result=3
IFSC Climbing Worldcup (B) - Vail (USA) 2015,5 June - 6 June 2015,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=899&result=7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",20 June - 21 June 2015,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=900&result=3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",20 June - 21 June 2015,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=900&result=7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",20 June - 21 June 2015,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=900&result=2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",20 June - 21 June 2015,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=900&result=6
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",26 June - 27 June 2015,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=901&result=3
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",26 June - 27 June 2015,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=901&result=7
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",26 June - 27 June 2015,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=901&result=2
"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",26 June - 27 June 2015,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=901&result=6
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",10 July - 12 July 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=902&result=1
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",10 July - 12 July 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=902&result=5
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",10 July - 12 July 2015,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=902&result=2
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",10 July - 12 July 2015,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=902&result=6
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,17 July - 18 July 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=903&result=1
IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,17 July - 18 July 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=903&result=5
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,31 July - 1 August 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=904&result=1
IFSC Climbing Worldcup (L) - Imst (AUT) 2015,31 July - 1 August 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=904&result=5
IFSC Climbing Worldcup (B) - Munich (GER) 2015,14 August - 15 August 2015,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=905&result=3
IFSC Climbing Worldcup (B) - Munich (GER) 2015,14 August - 15 August 2015,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=905&result=7
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,21 August - 22 August 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=906&result=1
IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,21 August - 22 August 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=906&result=5
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,26 September - 27 September 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=907&result=1
IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,26 September - 27 September 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=907&result=5
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",17 October - 18 October 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=908&result=1
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",17 October - 18 October 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=908&result=5
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",17 October - 18 October 2015,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=908&result=2
"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",17 October - 18 October 2015,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=908&result=6
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,14 November - 15 November 2015,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=909&result=1
IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,14 November - 15 November 2015,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=909&result=5
