title,date,category,url
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,5 April - 6 April 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1112&result=3
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019,5 April - 6 April 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1112&result=7
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",12 April - 14 April 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1113&result=3
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",12 April - 14 April 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1113&result=7
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",12 April - 14 April 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1113&result=2
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",12 April - 14 April 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1113&result=6
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",26 April - 28 April 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1114&result=3
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",26 April - 28 April 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1114&result=7
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",26 April - 28 April 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1114&result=2
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019",26 April - 28 April 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1114&result=6
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3 May - 5 May 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1115&result=3
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3 May - 5 May 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1115&result=7
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3 May - 5 May 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1115&result=2
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3 May - 5 May 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1115&result=6
IFSC Climbing Worldcup (B) - Munich (GER) 2019,18 May - 19 May 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1116&result=3
IFSC Climbing Worldcup (B) - Munich (GER) 2019,18 May - 19 May 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1116&result=7
IFSC Climbing Worldcup (B) - Vail (USA) 2019,7 June - 8 June 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1117&result=3
IFSC Climbing Worldcup (B) - Vail (USA) 2019,7 June - 8 June 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1117&result=7
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4 July - 6 July 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1118&result=1
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4 July - 6 July 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1118&result=5
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4 July - 6 July 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1118&result=2
"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4 July - 6 July 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1118&result=6
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",11 July - 13 July 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1119&result=1
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",11 July - 13 July 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1119&result=5
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",11 July - 13 July 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1119&result=2
"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",11 July - 13 July 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1119&result=6
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,19 July - 20 July 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1120&result=1
IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,19 July - 20 July 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1120&result=5
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1121&result=1
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1121&result=5
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=1121&result=3
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=1121&result=7
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1121&result=2
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1121&result=6
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,COMBINED Men,https://components.ifsc-climbing.org/result-complete/?event=1121&result=4
IFSC Climbing World Championships - Hachioji (JPN) 2019,11 August - 21 August 2019,COMBINED Women,https://components.ifsc-climbing.org/result-complete/?event=1121&result=8
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18 August - 21 August 2019,COMBINED Men,https://components.ifsc-climbing.org/result-complete/?event=1122&result=4
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18 August - 21 August 2019,COMBINED Women,https://components.ifsc-climbing.org/result-complete/?event=1122&result=8
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,28 September - 29 September 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1123&result=1
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,28 September - 29 September 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1123&result=5
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",18 October - 20 October 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1124&result=1
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",18 October - 20 October 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1124&result=5
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",18 October - 20 October 2019,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=1124&result=2
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",18 October - 20 October 2019,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=1124&result=6
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,26 October - 27 October 2019,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=1125&result=1
IFSC Climbing Worldcup (L) - Inzai (JPN) 2019,26 October - 27 October 2019,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=1125&result=5
