Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,7.910,7.47
2,NING,ZHANG,CHN,11.100,10.44
3,MAKSYM,OSIPOV,UKR,9.870,8.75
4,ALEXANDER,KOSTERIN,RUS,11.320,8.98
5,SERGEI,SINITCYN,RUS,9.340,8.59
6,ALEXANDR,NIGMATULIN,KAZ,11.020,10.17
7,MAKSYM,STYENKOVYY,UKR,9.770,10.86
8,EVGENII,VAITSEKHOVSKII,RUS,9.910,fall
9,OLEKSANDR,SALIMOV,UKR,11.260,9.45
10,GUANGPU,LI,CHN,9.700,9.53
11,JOSMAR,NIEVES,VEN,11.470,10.08
12,LUKASZ,SWIRK,POL,11.350,10.30
13,LUCAS,PRETI,ITA,11.120,10.67
14,VALERIY,VOROBYEV,RUS,10.980,10.83
15,TOMASZ,OLEKSY,POL,11.020,fall
16,MANUEL,ESCOBAR,VEN,11.220,fall
17,ALEXANDER,PESHEKHONOV,RUS,11.480,
18,LEONEL,DE LAS SALAS,VEN,11.600,
19,NIKITA,DEVYATERIKOV,KAZ,11.780,
20,VYACHESLAV,TITOV,KAZ,12.150,
21,KOSTIANTYN,PODCHESOV,UKR,12.440,
22,ALEXANDR,SHAULSKIY,RUS,12.540,
23,MICHEL,SIROTTI,ITA,12.590,
24,MATTHIAS,SCHMIDL,ITA,13.560,
25,MARK,AMANN,AUT,13.610,
26,LIBOR,HROZA,CZE,13.990,
27,SERGEY,DONETS,RUS,14.150,
28,JINYU,PAN,CHN,14.250,
29,DMITRIY,ABROSSIMOV,KAZ,14.720,
30,CSABA,KOMONDI,HUN,15.110,
31,IVAN,KAUROV,RUS,15.510,
32,ALEXANDER,TUZHILKIN,RUS,16.440,
33,ARMAN,TER-MINASYAN,RUS,17.920,
34,VLADISLAV,VALIEV,RUS,21.610,
35,YOANN,LE COUSTER,FRA,24.110,
36,GYULA,JUHASZ,HUN,25.350,
37,SALAH,BOULBAHAIEM,BEL,26.210,
38,ARTYOM,DEVYATERIKOV,KAZ,fall,
38,LUIS,DIAZ,VEN,fall,
38,THOMAS,DUPIN,FRA,fall,
38,MARCO ANTONIO,JUBES ANGARITA,ESP,fall,
38,ALEXANDER,KALINA,RUS,fall,
38,ERIC,LOPEZ MATEOS,ESP,fall,
