Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top,top,53
2,ANGELA,EITER,AUT,top,37-,43-
3,MINA,MARKOVIC,SLO,top,top,40
4,CAROLINE,CIAVALDINI,FRA,top,36.5+,39+
5,CHARLOTTE,DURIF,FRA,top,top,39
6,OLGA,SHALAGINA,UKR,top,35-,39-
7,BETTINA,SCHÖPF,AUT,43-,31+,36-
8,MURIEL,SARKANY,BEL,top,36-,32
9,YANA,CHERESHNEVA,RUS,top,31-,
9,ALEXANDRA,EYER,SUI,top,31-,
9,NATALIJA,GROS,SLO,top,31-,
9,ANDREA BRIGITTA,SZEKELY,HUN,top,31-,
13,YUKA,KOBAYASHI,JPN,top,30+,
13,AKIYO,NOGUCHI,JPN,top,30+,
15,GALINA,TERENTEVA,RUS,41-,30-,
16,MARINE,THÉVENET,FRA,top,28.5-,
17,BARBARA,BACHER,AUT,46,28,
17,NINA,CAPREZ,SUI,top,28,
19,CECILE,AVEZOU,FRA,top,28-,
20,EVGENIIA,MALAMID,RUS,top,27+,
21,JULIANE,WURM,GER,46,26-,
22,MATHILDE,COUCHOT,FRA,41-,23+,
23,JENNY,LAVARDA,ITA,top,23,
24,ANNE,HOARAU,FRA,43-,23-,
24,VANESSA,TAYLOR,FRA,top,23-,
26,MELISSA,LE NEVE,FRA,43+,22-,
27,NIKKI,VAN BERGEN,NED,43-,21.5,
28,ANOUK,EVENE,FRA,40,21.5-,
29,STEFANIE,PICHLER,AUT,38-,,
30,STEPHANIE,TRABER,FRA,35+,,
31,INES,DULL-KRETSCHMER,GER,35,,
31,ASJA,GOSAR,SLO,42+,,
31,HANNAH,MIDTBOE,NOR,42+,,
34,MIRIAM,MOOSBURGER,AUT,33,,
35,ANDREA,CARTAS BARRERA,ESP,38-,,
35,OLGA,MOROZKINA,RUS,28,,
35,KINGA,OCIEPKA,POL,28,,
35,OLENA,OSTAPENKO,UKR,28,,
39,JESSICA,FAURE,FRA,37+,,
40,LUCIE,HROZOVA,CZE,37-,,
41,CHUNHUA,LI,CHN,28-,,
41,VERA,ZIJLSTRA,NED,34-,,
43,MARIA,AGAFONOVA,RUS,31+,,
43,HELENA,ALEMAN SOBRINO,ESP,22-,,
45,MARJORIE,JUAREZ,FRA,29-,,
45,XUHUA,PAN,CHN,29-,,
45,VIOLAINE,TARDY,FRA,20-,,
48,MANUELA,VALSECCHI,ITA,16,,
49,SOLÈNE,LE CAR,FRA,16-,,
49,STÉPHANIE,SAURON,FRA,28,,
