Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANNA,STÖHR,AUT,4t7 5b6,3t5 4b4,3t11 4b8
2,CHARLOTTE,DURIF,FRA,3t8 5b6,3t3 4b4,1t1 4b8
3,AKIYO,NOGUCHI,JPN,4t5 5b6,4t6 4b5,1t2 4b14
4,ALEXANDRA,EYER,SUI,5t8 5b5,3t3 4b4,1t2 3b3
5,ANGELICA,LIND,SWE,3t9 5b13,3t5 4b5,1t3 2b2
6,JULIETTE,DANION,FRA,3t4 4b5,3t3 4b4,0t 2b3
7,ANNE-LAURE,CHEVRIER,FRA,5t6 5b6,3t6 4b4,
8,OLGA,BIBIK,RUS,5t7 5b5,3t6 4b4,
9,YULIA,ABRAMCHUK,RUS,4t8 5b7,3t7 4b4,
10,EMILIE,ABGRALL,FRA,3t6 4b7,3t7 4b5,
11,CHLOÉ,GRAFTIAUX,BEL,4t6 5b5,2t2 4b4,
12,MAUD,ANSADE,FRA,3t6 4b5,2t2 4b4,
13,ALEXANDRA,BALAKIREVA,RUS,3t7 5b5,2t2 4b4,
14,CECILE,AVEZOU,FRA,4t5 5b5,2t2 4b5,
15,JENNY,LAVARDA,ITA,3t5 5b6,2t2 4b5,
16,VERA,ZIJLSTRA,NED,2t2 5b6,2t2 4b5,
17,THERESE,JOHANNESEN,NOR,4t7 5b7,2t2 4b7,
18,NATALIJA,GROS,SLO,4t4 5b5,2t3 4b4,
19,KATJA,VIDMAR,SLO,3t3 5b5,2t3 4b5,
20,NINA,CAPREZ,SUI,3t8 5b10,1t1 4b4,
21,KSENIIA,ALEKSEEVA,RUS,2t2 5b9,,
21,AUDREY,SEGUY,GBR,2t2 5b9,,
23,KATHARINA,SAURWEIN,AUT,2t2 4b4,,
23,MÉLANIE,SON,FRA,2t2 4b4,,
25,FRANZISKA,SAURWEIN,AUT,2t2 4b6,,
26,ZOË,MAIRE,SUI,2t2 3b3,,
27,SILVIE,RAJFOVA,CZE,2t3 4b4,,
28,MÉLANIE,SANDOZ,FRA,2t3 4b7,,
29,BARBARA,BACHER,AUT,2t3 4b10,,
30,ROBERTA,LONGO,ITA,1t1 5b10,,
31,CELINE,COMBAZ,FRA,1t1 3b4,,
32,MORGANE,AVELINE,FRA,1t1 3b5,,
32,MARIE,DUVAL,FRA,1t1 3b5,,
34,NATALIE,SAILER,GER,1t2 4b6,,
35,DIANE,MERRICK,GBR,1t2 4b11,,
36,COSIMA,WILLI,SUI,1t3 3b3,,
37,RAELENE,COWIE,GBR,0t 3b5,,
