Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,39   9. | top  1. [5.61],33+,47+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
2,SACHI,AMMA,JPN,41+  2. | 39+  10. [6.78],39+,46+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
3,CÉDRIC,LACHAT,SUI,top  1. | top  1. [1.87],35+,39+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
4,DOMEN,SKOFIC,SLO,41+  2. | top  1. [3.74],32+,35+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
5,MANUEL,ROMAIN,FRA,41+  2. | 40   7. [5.66],36+,35,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
6,STEFANO,GHISOLFI,ITA,32+  21. | top  1. [8.77],32+,33+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
7,GAUTIER,SUPPER,FRA,41   7. | 39+  10. [8.97],35+,32+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
8,THOMAS,TAUPORN,GER,34+  16. | 36   17. [17.75],31+,32+,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
9,SEBASTIAN,HALENKE,GER,37+  10. | 39+  10. [11.75],30+,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
10,THOMAS,BALLET,FRA,41+  2. | 40   7. [5.66],29+,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
11,MAGNUS,MIDTBOE,NOR,37+  10. | 37+  14. [13.19],27+,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
12,FRANCESCO,VETTORATA,ITA,40.5   8. | 40   7. [8.00],27,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
13,HYUNBIN,MIN,KOR,37+  10. | 39+  10. [11.75],27,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
14,REINALDO,CAMACHO,VEN,32   24. | 37+  14. [19.04],27,,Briançon_(FRA)_2013,19 July - 20 July 2013,Men
