Rank,Name,,Country,Qualification,Final
1,ARSENII,SHEVCHENKO,RUS,7.120,7.65
2,LIBOR,HROZA,CZE,6.680,fall
3,QIXIN,ZHONG,CHN,6.680,6.44
4,NIKITA,SUYUSHKIN,RUS,6.870,11.85
5,LEONARDO,GONTERO,ITA,6.610,8.22
6,DMITRII,TIMOFEEV,RUS,6.550,99.99
7,MARCIN,DZIENSKI,POL,6.620,fall
8,IVAN,ATLAROV,RUS,7.490,fall
9,ALEKSANDR,SHIKOV,RUS,7.170,7.03
10,RUSLAN,FAIZULLIN,RUS,7.250,7.19
11,SERGEI,LUZHETSKII,RUS,7.100,7.30
12,EVGENII,VAITSEKHOVSKII,RUS,6.670,8.14
13,STANISLAV,KOKORIN,RUS,6.360,8.29
14,LUKASZ,SWIRK,POL,6.960,8.33
15,SERGEI,SINITCYN,RUS,6.890,fall
16,KONSTANTIN,PAYL,RUS,7.250,fall
17,JEDRZEJ,KOMOSINSKI,POL,7.670,
18,MAKSIM,DIACHKOV,RUS,7.700,
19,VLADISLAV,DEULIN,RUS,7.800,
19,VAGINAK,SIREKANYAN,RUS,7.800,
21,YOANN,LE COUSTER,FRA,7.920,
22,VIACHESLAV,VEDENCHUK,RUS,8.410,
23,ARMAN,TER-MINASYAN,RUS,8.580,
24,GEORGY,ARTAMONOV,RUS,8.830,
25,ANTON,POLIAKOV,RUS,9.980,
26,EVGENY,ASTASHKIN,RUS,fall,
