Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.340,6.33
2,LUKASZ,SWIRK,POL,7.310,6.77
3,PANDU ASMORO,GALAR,INA,7.960,7.73
4,SERGEI,SINITCYN,RUS,6.920,fall
5,JEDRZEJ,KOMOSINSKI,POL,7.350,6.60
6,LIBOR,HROZA,CZE,7.750,8.15
7,SERGEY,ABDRAKHMANOV,RUS,8.400,fall
8,ARSENII,SHEVCHENKO,RUS,7.480,fall
9,EVGENII,VAITSEKHOVSKII,RUS,6.790,7.05
10,TONNY,MAMIRI,INA,7.410,7.29
11,YULIANTO,ABUDZAR,INA,7.290,8.10
12,STANISLAV,KOKORIN,RUS,6.410,8.65
13,NING,ZHANG,CHN,7.460,9.96
14,EVGENY,ASTASHKIN,RUS,6.620,fall
15,LINCAI,ZHONG,CHN,7.610,fall
16,ZUFAR,NIGMANOV,RUS,8.440,fall
17,JIACUO,SUOLANG,CHN,8.820,
18,JIUN-JIE,TZENG,TPE,9.330,
19,ZIDA,MA,CHN,9.810,
