Rank,Name,,Country,Qualification,Final
1,SERGEY,ABDRAKHMANOV,RUS,13.940,
2,SERGEI,SINITCYN,RUS,15.440,
3,LUKASZ,SWIRK,POL,13.090,
4,ZUFAR,NIGMANOV,RUS,15.470,
5,STANISLAV,KOKORIN,RUS,12.330,
5,JEDRZEJ,KOMOSINSKI,POL,14.270,
5,ARSENII,SHEVCHENKO,RUS,16.410,
5,EVGENII,VAITSEKHOVSKII,RUS,14.280,
9,LIBOR,HROZA,CZE,17.610,
10,GIANLUCA,SIROTTI,ITA,18.170,
11,KOSTIANTYN,PODCHESOV,UKR,18.430,
12,PAWEŁ,SIKORA,POL,18.520,
13,MICHEL,SIROTTI,ITA,19.790,
14,FABIAN,BOSLER,GER,33.860,
15,MAXIMILIAN,PORSCHA,GER,36.150,
