Rank,Name,,Country,Qualification,Semi-Final,Final
102,JUAN SEBASTIAN,ARBOLEDA HENAO,COL,0t 1b1,,
102,JUOZAS,BOBINA,LTU,0t 1b1,,
102,"ZHER YEOW, JAY",KOH,SGP,0t 1b1,,
102,EREKLE,MIKELADZE,GEO,0t 1b1,,
102,RICARDO,NEVES,POR,0t 1b1,,
102,JONATHAN,PARTRIDGE,GBR,0t 1b1,,
102,JURAJ,RAVAS,SVK,0t 1b1,,
110,ANDRÉ,NERES,POR,0t 1b8,,
111,TONNY,MAMIRI,INA,0t 1b14,,
112,ERICK,CÓRDOVA A.,HON,0t 0b,,
112,MATAS,DOMINAS,LTU,0t 0b,,
112,ISAAC,ESTEVEZ,ECU,0t 0b,,
112,GIORGI,GABULDANI,GEO,0t 0b,,
112,JOSEPH,GIFFORD,USA,0t 0b,,
112,MIGUEL ANGEL,HERNANDEZ MEDINA,MEX,0t 0b,,
112,SIARHEI,HOLUBEU,BLR,0t 0b,,
112,BOYKO,LALOV,BUL,0t 0b,,
112,BLAGOVEST,LAZAROV,BUL,0t 0b,,
112,EDUARDO,MORA PARIENTE,MEX,0t 0b,,
112,EIRIK BIRKELUND,OLSEN,NOR,0t 0b,,
112,JIHWAN,PARK,KOR,0t 0b,,
112,ANDRES,QUINTEROS,ECU,0t 0b,,
112,TOMAS,RAVANAL,CHI,0t 0b,,
112,AKIN,TASKIRAN,TUR,0t 0b,,
112,QINGHUA,WANG,CHN,0t 0b,,
128,PEDRO FERREIRA,NICOLOSO,BRA,0t 1b3,,
128,KUEI CHI,PENG,TPE,0t 1b3,,
128,DENIS,ZHENDINSKIY,KAZ,0t 1b3,,
131,SANTIAGO,DE ALBA FLORES,MEX,0t 1b4,,
132,BOZHIDAR,LYUBENOV,BUL,0t 1b5,,
133,ESTEBAN,EGUEZ,ECU,0t 1b6,,
134,MATEO,CARDENAS,COL,0t 0b,,
134,NIKITA,DEVYATERIKOV,KAZ,0t 0b,,
134,SOSO,KATSITADZE,GEO,0t 0b,,
134,ANDREY,MATA VELASQUEZ,PER,0t 0b,,
134,MARK,PUGH-WILLIAMS,NZL,0t 0b,,
134,YUHANG,ZHANG,CHN,0t 0b,,
