Rank,Name,,Country,Qualification,Semi-final,Final,event_name,Date,Gender
45,REI,SUGIMOTO,JPN,3t4z 11 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
47,DILLON,COUNTRYMAN,USA,3t4z 12 11,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
47,GEVA,LEVIN,ISR,1t3z 2 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
49,OSCAR,BAUDRAND,CAN,1t3z 5 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
49,SLAV,KIROV,BUL,3t4z 12 14,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
51,ELIAS,ARRIAGADA KRÜGER,GER,3t3z 7 5,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
51,JAN-LUCA,POSCH,AUT,0t4z 0 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
53,ALBERTO,GINÉS LÓPEZ,ESP,3t3z 17 13,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
53,LUKE,GOH WEN BIN,SGP,0t4z 0 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
53,KA-CHUN,YAU,HKG,0t4z 0 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
56,ZACH,GALLA,USA,2t4z 2 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
57,VICTOR,BAUDRAND,CAN,2t4z 2 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
57,DYLAN,PARKS,AUS,0t4z 0 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
59,NILS,FAVRE,SUI,0t4z 0 18,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
59,AXEL,LINDFORS,FIN,2t4z 4 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
61,JESSE,GRUPPER,USA,2t4z 5 11,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
61,ARDCH,INTRACHUPONGSE,THA,0t4z 0 22,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
63,NATHAN,MARTIN,LUX,0t3z 0 5,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
63,YUFEI,PAN,CHN,2t4z 6 13,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
65,SASCHA,LEHMANN,SUI,2t3z 5 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
65,LUKA,POTOCAR,SLO,0t3z 0 9,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
65,FILIP,SCHENK,ITA,0t3z 0 9,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
68,THILO JELDRIK,SCHRÖTER,NOR,1t3z 2 5,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
69,HOSSEIN,FAMILROHANI,IRI,1t3z 3 14,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
69,FELIPE,HO FOGANHOLO,BRA,0t3z 0 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
71,CHEUNG-CHI SHOJI,CHAN,HKG,0t3z 0 11,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
71,JINBIN,HUANG,CHN,1t2z 3 9,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
73,ANTON YOUNG HONG,NIELSEN,DEN,0t4z 0 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
73,CHRISTIAN,WAGNER,CHI,0t3z 0 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
75,THEIS LINDEGREN,ELFENBEIN,DEN,0t3z 0 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
75,NIKOLAY,RUSEV,BUL,0t4z 0 18,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
77,RODRIGO,IASI HANADA,BRA,0t3z 0 6,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
77,WAN TONG,LOK,MAC,0t3z 0 18,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
79,CHINGKHEINGANBA,MAIBAM,IND,0t3z 0 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
79,GUY,MCNAMEE,CAN,0t2z 0 2,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
79,JAKUB,ZIETEK,POL,0t2z 0 2,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
82,CIARÁN,SCANLON,IRL,0t2z 0 5,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
83,LOKESH,RANJAN,IND,0t2z 0 3,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
83,SHINYEONG,YUN,KOR,0t2z 0 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
85,DAYAN,AKHTAR,GBR,0t2z 0 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
85,LIAM,HEALY,AUS,0t2z 0 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
85,DIEGO,LEQUERICA BUSCAGLIA,PER,0t2z 0 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
88,MARK,SCANLON,IRL,0t1z 0 3,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
89,IMAN,MORA,PHI,0t1z 0 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
89,YING-CHIEH,WEN,TPE,0t0z 0 0,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
91,JOHN JOSEPH,VELORIA,PHI,0t0z 0 0,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
1,BROOKE,RABOUTOU,USA,5t5z 12 12,2t4z 5 6,3t4z 6 6,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
2,HANNAH,MEUL,GER,4t5z 6 5,2t4z 4 5,1t3z 1 8,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
3,ANON,MATSUFUJI,JPN,5t5z 5 5,2t3z 5 6,0t3z 0 7,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
4,AYALA,KEREM,ISR,5t5z 9 7,2t3z 6 7,0t3z 0 9,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
5,ZHILU,LUO,CHN,4t4z 7 7,2t4z 4 7,0t3z 0 11,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
6,MIA,KRAMPL,SLO,4t5z 7 14,2t2z 2 2,0t1z 0 9,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
7,NOA,SHIRAN,ISR,4t5z 10 10,2t2z 4 4,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
8,NATALIA,GROSSMAN,USA,5t5z 9 9,1t3z 1 3,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
8,AI,MORI,JPN,4t4z 6 5,1t3z 1 3,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
10,JESSICA,PILZ,AUT,5t5z 12 10,1t3z 1 9,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
11,MIHO,NONAKA,JPN,5t5z 8 7,1t3z 2 3,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
12,SOFYA,YOKOYAMA,SUI,5t5z 23 22,1t3z 2 5,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
13,FUTABA,ITO,JPN,4t5z 9 11,1t3z 3 3,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
14,NONOHA,KUME,JPN,4t4z 6 6,1t2z 1 2,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
14,CHAEHYUN,SEO,KOR,4t4z 7 7,1t2z 1 2,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
16,MELODY,SEKIKAWA,JPN,5t5z 13 10,1t2z 1 11,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
17,LUCIA,DÖRFFEL,GER,5t5z 11 11,1t2z 2 6,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
18,CAMILLA,MORONI,ITA,5t5z 16 14,0t4z 0 12,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
19,SELMA,ELHADJ MIMOUNE,FRA,5t5z 11 11,0t3z 0 3,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
20,RYU,NAKAGAWA,JPN,4t5z 7 8,0t3z 0 7,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
21,MASHIRO,KUZUU,JPN,4t5z 8 8,0t0z 0 0,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
22,SARA,COPAR,SLO,4t4z 18 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
23,AGATHE,CALLIET,FRA,3t5z 5 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
23,IEVGENIIA,KAZBEKOVA,UKR,3t5z 3 11,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
25,MIA,AOYAGI,JPN,3t5z 5 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
25,GIORGIA,TESIO,ITA,3t5z 3 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
27,STASA,GEJO,SRB,3t5z 4 6,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
27,SERIKA,OKAWACHI,JPN,3t5z 6 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
29,ZÉLIA,AVEZOU,FRA,3t5z 8 6,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
29,CHLOE,CAULIER,BEL,3t5z 5 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
31,ORIANE,BERTONE,FRA,3t4z 5 4,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
31,KATJA,DEBEVEC,SLO,3t5z 6 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
33,KYRA,CONDIE,USA,3t4z 9 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
33,PETRA,KLINGLER,SUI,3t5z 6 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
35,FANNY,GIBERT,FRA,3t4z 9 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
35,OCEANIA,MACKENZIE,AUS,3t5z 7 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
37,NANAKO,KURA,JPN,3t4z 5 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
37,ANASTASIA,SANDERS,USA,3t3z 6 6,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
39,LAURA,ROGORA,ITA,3t3z 3 3,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
39,YEJOO,SEO,KOR,3t3z 3 3,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
39,ALANNAH,YIP,CAN,3t3z 9 9,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
42,JOHANNA,FÄRBER,AUT,2t5z 4 13,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
43,MADISON,FISCHER,CAN,2t5z 2 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
43,SOL,SA,KOR,2t3z 7 14,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
45,ERIN,MCNEICE,GBR,2t5z 4 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
45,YAEL,TAUB,ISR,2t2z 7 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
47,FRANZISKA,STERRER,AUT,2t5z 5 14,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
47,ROXANA,WIENAND,GER,1t4z 2 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
49,CLOE,COSCOY,USA,1t3z 3 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
49,KYLIE,CULLEN,USA,2t4z 3 4,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
51,ZOE,PEETERMANS,GBR,2t4z 5 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
51,HONGCHUN,XIANG,CHN,1t3z 3 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Women
