Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
53,DONG JUN,KIM,KOR,6.56,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
54,DARREN,SKOLNIK,USA,6.60,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
55,ARDCH,INTRACHUPONGSE,THA,6.67,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
56,ALFIAN,MUHAMMAD FAJRI,INA,6.79,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
57,MINSU,KANG,KOR,6.86,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
58,TAEUNG,MOON,KOR,7.06,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
59,QUINN,O'FRANCIA,USA,7.17,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
60,VALENTIN,STERNIK,ARG,7.32,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
61,FLYNN,CHISHOLM,NZL,7.48,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
62,DAMIR,TOKTAROV,KAZ,7.49,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
63,JONGBIN,CHOI,KOR,7.95,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
64,ADRIEN,LEVESQUE,CAN,8.02,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
65,GUILLAUME,MORO,FRA,8.44,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
66,CHEUK-NAM,WONG,HKG,10.60,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
67,LIANG,ZHANG,CHN,fall,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
68,REZA,ALIPOUR SHENAZANDIFARD,IRI,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
68,LONG,CAO,CHN,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
68,LEANDER,CARMANNS,GER,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
68,ERIK,NOYA CARDONA,ESP,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
68,ETHAN,PITCHER,CAN,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
1,ALEKSANDRA,MIROSLAW,POL,6.37 (wr) (er),6.25 (wr) (er),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
2,NATALIA,KALUCKA,POL,6.66,6.67,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
3,DESAK,MADE RITA KUSUMA DEWI,INA,6.74,6.60,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
4,ALEKSANDRA,KALUCKA,POL,6.72,6.71,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
5,LIJUAN,DENG,CHN,6.84,6.697,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
6,RAJIAH,SALLSABILLAH,INA,6.90,6.76,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
7,EMMA,HUNT,USA,6.82 (par),6.86 (6.822),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
8,JIMIN,JEONG,KOR,7.08,6.94 (6.864),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
9,DI,NIU,CHN,7.20,6.96,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
10,SHAOQIN,ZHANG,CHN,7.21,9.07 (7.213),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
11,ANNA,BROZEK,POL,7.400,7.26,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
12,GIULIA,RANDI,ITA,7.30,7.40 (7.307),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
13,CAPUCINE,VIGLIONE,FRA,7.33,12.81 (7.337),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
14,YUJU,MU,CHN,7.35,7.48 (7.354),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
15,YAFEI,ZHOU,CHN,7.401,7.40,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
