Rank,Name,,Country,Qualification,Semi-final,Final,event_name,Date,Gender
1,SASCHA,LEHMANN,SUI,4.03,43+,44+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
2,ALEXANDER,MEGOS,GER,4.03,39+,44+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
3,JAKOB,SCHUBERT,AUT,5.48,43,42+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
4,SORATO,ANRAKU,JPN,2.5,40,42+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
5,MEJDI,SCHALCK,FRA,15.2,40,42+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
6,SATONE,YOSHIDA,JPN,4.03,39+,42+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
7,MASAHIRO,HIGUCHI,JPN,14.07,42+,42,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
8,ALBERTO,GINÉS LÓPEZ,ESP,22.05,40,42,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
9,TAISEI,HOMMA,JPN,7.65,42,40+,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
10,AO,YURIKUSA,JPN,9.87,39+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
11,JESSE,GRUPPER,USA,16.43,39+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
12,SHION,OMATA,JPN,26.83,38+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
13,YUFEI,PAN,CHN,20.06,32+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
14,LUKA,POTOCAR,SLO,15.2,31+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
15,TOMOA,NARASAKI,JPN,16.43,31+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
16,TOBY,ROBERTS,GBR,6.42,29+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
17,MEICHI,NARASAKI,JPN,17.87,28+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
18,YOSHIYUKI,OGATA,JPN,13.12,27+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
19,GIORGIO,TOMATIS,ITA,24.19,27+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
20,MILAN,PRESKAR,SLO,26.7,27+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
21,STEFAN,SCHERZ,AUT,27.46,27+,,IFSC_World_Cup_Innsbruck_2023,14 June - 18 June 2023,Men
