Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,37   8. | 41   5. [6.32],41,53+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
2,ADAM,ONDRA,CZE,top  1. | 41+  2. [2.74],46+,52+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
3,SEBASTIAN,HALENKE,GER,37+  6. | 40   6. [6.50],39+,52,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
4,ROMAIN,DESGRANGES,FRA,top  1. | 42+  1. [1.58],49+,51+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
5,GAUTIER,SUPPER,FRA,top  1. | 41+  2. [2.74],47+,43+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
6,JAKOB,SCHUBERT,AUT,37+  6. | 40   6. [6.50],46+,39+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
7,STEFANO,GHISOLFI,ITA,36+  9. | 37   9. [9.99],42,38+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
8,DMITRII,FAKIRIANOV,RUS,38+  5. | 41+  2. [3.87],50+,29+,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
9,DOMEN,SKOFIC,SLO,top  1. | 37   9. [5.12],38+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
10,THOMAS,JOANNES,FRA,34   13. | 37   9. [12.12],38+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
11,SEAN,MCCOLL,CAN,33+  16. | 35+  16. [17.71],38+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
12,MAGNUS,MIDTBOE,NOR,34+  11. | 37   9. [10.99],37+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
13,YUKI,HADA,JPN,33+  16. | 36+  13. [16.31],36+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
14,KEIICHIRO,KORENAGA,JPN,36+  9. | 30+  31. [17.30],35+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
15,MINORU,NAKANO,JPN,33+  16. | 37+  8. [12.33],33+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
16,MIKHAIL,CHERNIKOV,RUS,30+  27. | 30+  31. [29.43],32+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
17,CHARLI,BLEIN,FRA,33+  16. | 33+  19. [19.00],32,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
18,MASAHIRO,HIGUCHI,JPN,33+  16. | 36+  13. [16.31],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
19,SASCHA,LEHMANN,SUI,29+  29. | 36+  13. [20.49],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
20,JIHWAN,PARK,KOR,33+  16. | 32+  20. [21.13],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
21,URBAN,PRIMOZIC,SLO,34   13. | 29+  33. [24.25],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
22,HUGO,PARMENTIER,FRA,31   26. | 32+  20. [24.72],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
23,SHINICHIRO,NOMURA,JPN,30+  27. | 32+  20. [25.42],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
24,LOÏC,TIMMERMANS,BEL,33+  16. | 29+  33. [28.25],30+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
25,VALERIY,KRYUKOV,UKR,34   13. | 35+  16. [15.20],28,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
26,HANWOOL,KIM,KOR,32   24. | 31   29. [26.61],18+,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
27,MAËL,BONZOM,FRA,27+  34. | 32+  20. [29.49],,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
27,MATTHIAS,SCHIESTL,AUT,27+  34. | 32+  20. [29.49],,,Chamonix_(FRA)_2015,10 July - 12 July 2015,Men
